algorithm,alpha,n_clients,partition_seed,model_seed,round,class,client_id,eval_data,precision_pre_local,recall_pre_local,f1_pre_local,precision_post_local,recall_post_local,f1_post_local,precision_post_agg,recall_post_agg,f1_post_agg,logit_margin_pre_local,logit_margin_post_local,logit_margin_post_agg,client_fedavg_weight,n_holders_this_class,holder_weight_share_this_class,global_predicted_count_this_class
fedavg_sgd,0.1,30,102,11,45,Unauth,0,own_client_rows,1.0,0.973015873015873,0.9863234111021721,1.0,1.0,1.0,1.0,0.973015873015873,0.9863234111021721,0.2754756382533482,29.29345238095238,0.5169476705884176,0.0002930066293912625,3,0.09417093541668799,2528
fedavg_sgd,0.1,30,102,11,45,Unauth,0,validation,0.3185022026431718,0.9678714859437751,0.4792840570102751,0.034028790087463553,1.0,0.06581787743953478,0.2887658227848101,0.9772423025435074,0.44580152671755724,0.3992135866259635,30.528010642831745,0.6659191953768852,0.0002930066293912625,3,0.09417093541668799,2528
fedavg_sgd,0.1,30,102,11,45,MITM,1,own_client_rows,1.0,0.16314274216017088,0.28052058659143536,0.9999690364131781,0.9997523449834381,0.9998606789578786,1.0,0.17434913165959817,0.29692895742717806,-1.0370363361181625,9.591679154219422,-0.9154979286705183,0.08114330256608694,3,0.1078124869193469,4206
fedavg_sgd,0.1,30,102,11,45,MITM,1,validation,0.6211288711288712,0.18426316959324293,0.28421233072395863,0.06974496283507872,0.9997036378454471,0.1303929763866273,0.6238706609605326,0.19441357338667853,0.2964469298988872,-1.0324174324618434,9.657633698692303,-0.9056761329629964,0.08114330256608694,3,0.1078124869193469,4206
fedavg_sgd,0.1,30,102,11,45,Password Cracking,1,own_client_rows,1.0,0.9999929659198818,0.9999964829475713,1.0,0.9999929659198818,0.9999964829475713,1.0,0.9999929659198818,0.9999964829475713,9.177324955817184,13.877907850253226,9.281619124344951,0.08114330256608694,1,0.08114330256608694,0
fedavg_sgd,0.1,30,102,11,45,Password Cracking,1,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.08114330256608694,1,0.08114330256608694,0
fedavg_sgd,0.1,30,102,11,45,MITM,2,own_client_rows,1.0,0.1624755062050947,0.27953364236550077,1.0,1.0,1.0,1.0,0.1733072066187677,0.2954165893486732,-0.9586738704363298,27.107494803573374,-0.8171861658110848,0.02563389426274416,3,0.1078124869193469,4206
fedavg_sgd,0.1,30,102,11,45,MITM,2,validation,0.6211288711288712,0.18426316959324293,0.28421233072395863,0.06864934998855166,0.999629547306809,0.12847566085167975,0.6238706609605326,0.19441357338667853,0.2964469298988872,-1.0324174324618434,25.41384485904275,-0.9056761329629964,0.02563389426274416,3,0.1078124869193469,4206
fedavg_sgd,0.1,30,102,11,45,DoS,3,own_client_rows,0.999925389838096,1.0,0.999962693527327,1.0,0.9993657663035368,0.9996827825567726,0.9998134954679399,1.0,0.9999067390371739,17.973055870421625,15.208860956649428,18.330648727656087,0.02562505755487363,9,0.4659382118782097,46009
fedavg_sgd,0.1,30,102,11,45,DoS,3,validation,0.9996302981536654,0.999978245262906,0.9998042414355628,1.0,0.9985206778776079,0.9992597914353515,0.9990654002477776,0.999978245262906,0.9995216143341741,16.213470142303173,12.705523247316009,16.55207990582918,0.02562505755487363,9,0.4659382118782097,46009
fedavg_sgd,0.1,30,102,11,45,Injection,3,own_client_rows,1.0,0.009884678747940691,0.01957585644371941,0.9500805152979066,0.9719934102141681,0.9609120521172638,1.0,0.016474464579901153,0.03241491085899514,-0.3703604734317082,7.1912984580930805,-0.6148173852257517,0.02562505755487363,3,0.0761626549563234,332
fedavg_sgd,0.1,30,102,11,45,Injection,3,validation,0.01733102253032929,0.011806375442739079,0.014044943820224719,0.01191365831225569,0.9787485242030697,0.023540770399397993,0.030120481927710843,0.011806375442739079,0.016963528413910092,-0.49497058062232513,8.493667332312574,-0.7849074975095927,0.02562505755487363,3,0.0761626549563234,332
fedavg_sgd,0.1,30,102,11,45,Ip Spoofing,3,own_client_rows,0.9988636363636364,0.9965986394557823,0.9977298524404086,0.9778270509977827,1.0,0.9887892376681614,0.9954389965792474,0.9897959183673469,0.992609437180216,1.7306569763321995,5.820962434452948,1.6727818080357142,0.02562505755487363,7,0.24285412641701262,2429
fedavg_sgd,0.1,30,102,11,45,Ip Spoofing,3,validation,0.33164458300857363,0.9929988331388565,0.4972246567338592,0.020169776075287887,0.9953325554259043,0.039538333178826365,0.34376286537669826,0.9743290548424738,0.5082166768107121,1.1819838320221339,6.12555380323804,1.053634447700919,0.02562505755487363,7,0.24285412641701262,2429
fedavg_sgd,0.1,30,102,11,45,DoS,4,own_client_rows,1.0,0.997134670487106,0.9985652797704447,1.0,1.0,1.0,1.0,1.0,1.0,33.17054306948424,54.94375671561605,33.910679508416905,0.00016231637088500096,9,0.4659382118782097,46009
fedavg_sgd,0.1,30,102,11,45,DoS,4,validation,0.9996302981536654,0.999978245262906,0.9998042414355628,0.9555356920134702,1.0,0.9772623388219787,0.9990654002477776,0.999978245262906,0.9995216143341741,16.213470142303173,18.22299701756151,16.55207990582918,0.00016231637088500096,9,0.4659382118782097,46009
fedavg_sgd,0.1,30,102,11,45,Regular,5,own_client_rows,1.0,0.9905514672481148,0.9952533089913281,1.0,0.9993337573059569,0.9996667676461678,1.0,0.9892391710325752,0.9945904800568355,4.986525260243166,9.564101795937308,4.834893341232347,0.09284263869678093,7,0.40363709594153263,175516
fedavg_sgd,0.1,30,102,11,45,Regular,5,validation,0.9496506579839913,0.9908930583162775,0.9698335955202124,0.8881561703867565,0.9993452911095251,0.9404757609483024,0.9559812210852572,0.9896721147097163,0.9725349724828072,4.994983410631499,9.570085946209177,4.845656370776464,0.09284263869678093,7,0.40363709594153263,175516
fedavg_sgd,0.1,30,102,11,45,Unauth,5,own_client_rows,0.9986468200270636,0.9859719438877755,0.9922689075630252,0.9894249834765367,1.0,0.9946843853820598,0.9986468200270636,0.9859719438877755,0.9922689075630252,0.35824953944347027,17.987808951235806,0.6082395911614896,0.09284263869678093,3,0.09417093541668799,2528
fedavg_sgd,0.1,30,102,11,45,Unauth,5,validation,0.3185022026431718,0.9678714859437751,0.4792840570102751,0.15332512315270935,1.0,0.26588360918312864,0.2887658227848101,0.9772423025435074,0.44580152671755724,0.3992135866259635,18.980801624466615,0.6659191953768852,0.09284263869678093,3,0.09417093541668799,2528
fedavg_sgd,0.1,30,102,11,45,Replay,6,own_client_rows,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.64769188133446,-3.879829475471565,-7.508591110641892,0.00041299982047530325,4,0.0017222278549775315,0
fedavg_sgd,0.1,30,102,11,45,Replay,6,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.634643217165898,-4.104712701612903,-7.506123541906682,0.00041299982047530325,4,0.0017222278549775315,0
fedavg_sgd,0.1,30,102,11,45,Injection,7,own_client_rows,0.5555555555555556,0.009541984732824428,0.01876172607879925,0.9685767097966729,1.0,0.984037558685446,0.7272727272727273,0.015267175572519083,0.029906542056074768,-0.3202804099512464,12.351701343332538,-0.5530553337271887,0.04986135670441026,3,0.0761626549563234,332
fedavg_sgd,0.1,30,102,11,45,Injection,7,validation,0.01733102253032929,0.011806375442739079,0.014044943820224719,0.20282567049808428,1.0,0.3372486561815648,0.030120481927710843,0.011806375442739079,0.016963528413910092,-0.49497058062232513,14.609394600427981,-0.7849074975095927,0.04986135670441026,3,0.0761626549563234,332
fedavg_sgd,0.1,30,102,11,45,Regular,7,own_client_rows,1.0,0.9885643582917776,0.994249297660124,1.0,0.9983408946046267,0.9991697585732982,1.0,0.9865959281616737,0.9932527437269391,5.036528722896006,9.268344191615249,4.881905904462888,0.04986135670441026,7,0.40363709594153263,175516
fedavg_sgd,0.1,30,102,11,45,Regular,7,validation,0.9496506579839913,0.9908930583162775,0.9698335955202124,0.896419024428976,0.9988557340112422,0.9448691052737296,0.9559812210852572,0.9896721147097163,0.9725349724828072,4.994983410631499,9.218873748643396,4.845656370776464,0.04986135670441026,7,0.40363709594153263,175516
fedavg_sgd,0.1,30,102,11,45,Ip Spoofing,8,own_client_rows,0.9769673704414588,0.9902723735408561,0.9835748792270531,0.9518518518518518,1.0,0.9753320683111955,0.9768339768339769,0.9844357976653697,0.9806201550387597,1.9313784350680934,10.994094076787452,1.87238225677134,0.023477272452446886,7,0.24285412641701262,2429
fedavg_sgd,0.1,30,102,11,45,Ip Spoofing,8,validation,0.33164458300857363,0.9929988331388565,0.4972246567338592,0.038212868417532436,1.0,0.07361278130905342,0.34376286537669826,0.9743290548424738,0.5082166768107121,1.1819838320221339,10.680464647753793,1.053634447700919,0.023477272452446886,7,0.24285412641701262,2429
fedavg_sgd,0.1,30,102,11,45,Regular,8,own_client_rows,1.0,0.9887521264885419,0.9943442556959987,1.0,0.9976983888722105,0.9988478685568302,1.0,0.9874912438707095,0.993706258496551,4.947532364451991,8.469931940639698,4.795776946206094,0.023477272452446886,7,0.40363709594153263,175516
fedavg_sgd,0.1,30,102,11,45,Regular,8,validation,0.9496506579839913,0.9908930583162775,0.9698335955202124,0.9039817525266555,0.9981597371727193,0.9487392955752708,0.9559812210852572,0.9896721147097163,0.9725349724828072,4.994983410631499,8.528848951452009,4.845656370776464,0.023477272452446886,7,0.40363709594153263,175516
fedavg_sgd,0.1,30,102,11,45,MITM,9,own_client_rows,0.9545454545454546,0.20588235294117646,0.3387096774193548,1.0,0.0056022408963585435,0.011142061281337047,1.0,0.08123249299719888,0.15025906735751296,-2.2526605857186626,-20.07972798494398,-2.3687650108871674,0.001035290090515794,3,0.1078124869193469,4206
fedavg_sgd,0.1,30,102,11,45,MITM,9,validation,0.6211288711288712,0.18426316959324293,0.28421233072395863,0.671918077983458,0.12639845891679632,0.2127712646545273,0.6238706609605326,0.19441357338667853,0.2964469298988872,-1.0324174324618434,-2.9199754531678335,-0.9056761329629964,0.001035290090515794,3,0.1078124869193469,4206
fedavg_sgd,0.1,30,102,11,45,Unauth,9,own_client_rows,0.42857142857142855,0.9736842105263158,0.5951742627345844,0.36157680108744905,1.0,0.5311148086522463,0.401854714064915,0.9774436090225563,0.5695509309967142,0.42859582733689694,21.260700579573935,0.6992689242637845,0.001035290090515794,3,0.09417093541668799,2528
fedavg_sgd,0.1,30,102,11,45,Unauth,9,validation,0.3185022026431718,0.9678714859437751,0.4792840570102751,0.04471715055372643,1.0,0.0856062342424937,0.2887658227848101,0.9772423025435074,0.44580152671755724,0.3992135866259635,20.772875028760875,0.6659191953768852,0.001035290090515794,3,0.09417093541668799,2528
fedavg_sgd,0.1,30,102,11,45,Ip Spoofing,10,own_client_rows,1.0,0.8293113596233078,0.9066924066924067,1.0,1.0,1.0,1.0,0.7892878163625662,0.8822368421052632,1.1373409565369335,28.40007449234844,1.062268217287743,0.0007901877195805634,7,0.24285412641701262,2429
fedavg_sgd,0.1,30,102,11,45,Ip Spoofing,10,validation,0.33164458300857363,0.9929988331388565,0.4972246567338592,0.03272366260643782,1.0,0.0633735117947201,0.34376286537669826,0.9743290548424738,0.5082166768107121,1.1819838320221339,24.405921820303384,1.053634447700919,0.0007901877195805634,7,0.24285412641701262,2429
fedavg_sgd,0.1,30,102,11,45,Ip Spoofing,11,own_client_rows,0.9042904290429042,0.9778729478943612,0.9396433470507545,0.8449939686369119,1.0,0.9159856162144492,0.9019337016574586,0.9321912919343326,0.9168129168129168,1.425055188676615,9.966812210028552,1.3546559934867952,0.17256416147548836,7,0.24285412641701262,2429
fedavg_sgd,0.1,30,102,11,45,Ip Spoofing,11,validation,0.33164458300857363,0.9929988331388565,0.4972246567338592,0.06500303398058252,1.0,0.12207107755857845,0.34376286537669826,0.9743290548424738,0.5082166768107121,1.1819838320221339,9.198924755688449,1.053634447700919,0.17256416147548836,7,0.24285412641701262,2429
fedavg_sgd,0.1,30,102,11,45,Regular,11,own_client_rows,0.9948787024565009,0.9916865988970832,0.9932800860681363,0.998542488164778,0.9786503665315704,0.9884963621213223,0.9957506963904573,0.9905930945895068,0.9931651995553563,4.976375435282193,4.867062350421761,4.824287261635093,0.17256416147548836,7,0.40363709594153263,175516
fedavg_sgd,0.1,30,102,11,45,Regular,11,validation,0.9496506579839913,0.9908930583162775,0.9698335955202124,0.9795873690189512,0.9765366489521708,0.9780596300737844,0.9559812210852572,0.9896721147097163,0.9725349724828072,4.994983410631499,4.883563689516842,4.845656370776464,0.17256416147548836,7,0.40363709594153263,175516
fedavg_sgd,0.1,30,102,11,45,Video,11,own_client_rows,0.7423086702262903,0.6943750743251278,0.7175422427035331,0.5144384329574343,0.9385182542513973,0.6645894736842105,0.7276181429589171,0.7287430134379831,0.7281801437823064,1.0718225775582708,4.076901480649453,1.248088915150434,0.17256416147548836,4,0.19767482961431956,13993
fedavg_sgd,0.1,30,102,11,45,Video,11,validation,0.6510704554301284,0.6962204462204462,0.6728889246489922,0.4642378457414402,0.9515484515484516,0.6240275161739415,0.6303866218823697,0.7343489843489843,0.6784079984618343,1.0278243485030594,3.9265095256306193,1.2033935302978271,0.17256416147548836,4,0.19767482961431956,13993
