predictor,spearman_rho_pooled_exploratory,p_value_descriptive_only,abs_rho
holder_weight_share,-0.48114776438399565,1.5829975970179578e-29,0.48114776438399565
holder_fraction,-0.37475498568999127,1.188280226567313e-17,0.37475498568999127
gini,0.3114405176278208,2.1625041394430417e-12,0.3114405176278208
n_holders,-0.2669113931085304,2.261640381078917e-09,0.2669113931085304
hhi,0.18707325187973403,3.322129567663833e-05,0.18707325187973403
n_clients,0.1217198703272045,0.007221579550087788,0.1217198703272045
alpha,-0.08328201653966624,0.0665878001109398,0.08328201653966624
