predictor,spearman_rho_partition_level,p_value
mean_gini,0.6678034153029224,0.00014126283393754892
mean_holder_fraction,-0.6296547266423548,0.000432920971015128
mean_holder_weight_share,-0.5239207122399978,0.005032883551770372
mean_hhi,0.09696443032501452,0.6304189462719669
