partition_id,fedavg_sgd,fednova_sgd,diff_fedavg_minus_fednova
0.1_10_101,0.1111111111111111,0.3333333333333333,-0.2222222222222222
0.1_10_102,0.1111111111111111,0.2222222222222222,-0.1111111111111111
0.1_10_103,0.1111111111111111,0.1111111111111111,0.0
0.1_15_101,0.2222222222222222,0.3333333333333333,-0.1111111111111111
0.1_15_102,0.3333333333333333,0.1111111111111111,0.2222222222222222
0.1_15_103,0.2222222222222222,0.2222222222222222,0.0
0.1_30_101,0.4444444444444444,0.2222222222222222,0.2222222222222222
0.1_30_102,0.1111111111111111,0.2222222222222222,-0.1111111111111111
0.1_30_103,0.4444444444444444,0.3333333333333333,0.1111111111111111
0.3_10_101,0.3333333333333333,0.1111111111111111,0.2222222222222222
0.3_10_102,0.1111111111111111,0.0,0.1111111111111111
0.3_10_103,0.0,0.1111111111111111,-0.1111111111111111
0.3_15_101,0.1111111111111111,0.2222222222222222,-0.1111111111111111
0.3_15_102,0.3333333333333333,0.1111111111111111,0.2222222222222222
0.3_15_103,0.1111111111111111,0.2222222222222222,-0.1111111111111111
0.3_30_101,0.4444444444444444,0.3333333333333333,0.1111111111111111
0.3_30_102,0.2222222222222222,0.0,0.2222222222222222
0.3_30_103,0.4444444444444444,0.1111111111111111,0.3333333333333333
1.0_10_101,0.0,0.1111111111111111,-0.1111111111111111
1.0_10_102,0.1111111111111111,0.2222222222222222,-0.1111111111111111
1.0_10_103,0.1111111111111111,0.1111111111111111,0.0
1.0_15_101,0.2222222222222222,0.2222222222222222,0.0
1.0_15_102,0.2222222222222222,0.1111111111111111,0.1111111111111111
1.0_15_103,0.1111111111111111,0.1111111111111111,0.0
1.0_30_101,0.3333333333333333,0.1111111111111111,0.2222222222222222
1.0_30_102,0.2222222222222222,0.1111111111111111,0.1111111111111111
1.0_30_103,0.2222222222222222,0.1111111111111111,0.1111111111111111
