# mean_recall_pre_local / mean_recall_post_local / mean_max_local_recall are LOCAL FITTING/RETENTION EVIDENCE on the holder's own training rows (own_client_rows), not independent local-generalization evidence -- they are evaluated on the same rows the client just trained on this round.
# mean_global_recall and everything downstream of it (aggregation_recall_loss, aggregation_margin_change) are NaN where class_evaluable=False: that class has zero true support in the validation split, so global recall is 0/NaN by sklearn construction regardless of what was learned locally, and is not a measurable erosion event.
anchor,algorithm,class,n_seeds,class_evaluable,mean_recall_pre_local,mean_recall_post_local,mean_max_local_recall,mean_global_recall,mean_local_learning_gain,mean_aggregation_recall_loss,median_aggregation_recall_loss,mean_aggregation_margin_change,median_aggregation_margin_change
heavy_a0.1_nc30,fedavg_sgd,DoS,5,True,0.9999428465822671,0.99997397107638,1.0,0.9999434376835555,3.1124494112733106e-05,5.656231644437515e-05,6.52642112819457e-05,-33.22526084802458,-31.540440119505657
heavy_a0.1_nc30,fedavg_sgd,Injection,5,True,0.010353205915610644,0.9935702798200268,1.0,0.0059031877213695,0.983217073904416,0.9940968122786306,0.9940968122786304,-20.725328038661935,-19.86685948607848
heavy_a0.1_nc30,fedavg_sgd,Ip Spoofing,5,True,0.9465532301565295,0.9924813205578564,1.0,0.9822637106184364,0.04592809040132691,0.017736289381563575,0.011668611435239229,-30.72878220333025,-27.71543447875241
heavy_a0.1_nc30,fedavg_sgd,MITM,5,True,0.14530345957013027,0.9902077891839447,1.0,0.1791064681040231,0.8449043296138145,0.8208935318959769,0.8055864266133215,-29.68497076755467,-30.518830140368344
heavy_a0.1_nc30,fedavg_sgd,Manipulation,5,True,0.2049540015386707,1.0,1.0,0.16485097636176768,0.7950459984613293,0.8351490236382324,0.8088386433710175,-50.83361284167073,-48.43583249629803
heavy_a0.1_nc30,fedavg_sgd,Password Cracking,5,False,0.9999957795519292,0.9999957795519292,0.9999957795519292,0.0,0.0,,,,
heavy_a0.1_nc30,fedavg_sgd,Regular,5,True,0.9898116329360931,0.9877550500891443,0.99918839526362,0.9895034239505488,-0.0020565828469488513,0.00968497131307131,0.009513128464399001,-4.999320209759988,-4.980155118024271
heavy_a0.1_nc30,fedavg_sgd,Replay,5,True,0.0,0.3019173642992196,0.3615643180977954,0.0,0.3019173642992196,0.3615643180977954,0.3920086393088552,-6.7203597826649375,-7.47318468596306
heavy_a0.1_nc30,fedavg_sgd,Unauth,5,True,0.984428403150418,1.0,1.0,0.9759036144578314,0.015571596849581959,0.02409638554216862,0.022757697456492587,-27.295384156064245,-27.14070459082423
heavy_a0.1_nc30,fedavg_sgd,Video,5,True,0.7387954015219373,0.943832558449718,1.0,0.7567599067599067,0.20503715692778074,0.24324009324009327,0.2656510156510157,-11.324633779087204,-11.373977112438572
heavy_a0.1_nc30,fednova_sgd,DoS,5,True,0.9999284860004071,0.9999942604800767,1.0,0.9999260338938804,6.577447966968908e-05,7.396610611960508e-05,8.701894837603863e-05,-26.590969834375663,-27.30206501640831
heavy_a0.1_nc30,fednova_sgd,Injection,5,True,0.39833047609674643,0.9945655524065262,1.0,0.5976387249114522,0.5962350763097799,0.4023612750885478,0.00708382526564344,-9.697980486844836,-9.489700172024339
heavy_a0.1_nc30,fednova_sgd,Ip Spoofing,5,True,0.7237570113231614,0.9997492725518388,1.0,0.6513418903150525,0.27599226122867737,0.3486581096849476,0.002333722287047979,-8.429121571263643,-8.048635512392913
heavy_a0.1_nc30,fednova_sgd,MITM,5,True,0.1177107624326486,0.9902298761962062,1.0,0.0779136104319478,0.8725191137635576,0.9220863895680521,0.9548047714306883,-14.65228555107512,-14.520296973019578
heavy_a0.1_nc30,fednova_sgd,Manipulation,5,True,0.5041116912444994,1.0,1.0,0.3270298047276464,0.4958883087555006,0.6729701952723536,1.0,-13.299094610174956,-15.687450045796073
