run_id,algorithm,alpha,n_clients,partition_seed,partition_id,class,recall,zero_recall,n_holders,holder_fraction,hhi,gini,holder_weight_share,class_evaluable
4,fednova_sgd,0.1,15,101,0.1_15_101,Regular,0.6933544098477654,0,8,0.5333333333333333,0.5371194790297431,0.834315636254537,0.5968768283846219,True
4,fednova_sgd,0.1,15,101,0.1_15_101,Replay,0.9944700460829493,0,2,0.13333333333333333,0.6317731154768718,0.9008911693221713,0.03697185555052225,True
4,fednova_sgd,0.1,15,101,0.1_15_101,Unauth,0.9665327978580991,0,3,0.2,0.40503423186500115,0.8492307692307693,0.5114077247709665,True
4,fednova_sgd,0.1,15,101,0.1_15_101,Video,0.37071262071262073,0,2,0.13333333333333333,0.6807900050581678,0.9067543489042781,0.2192615116723609,True
5,fedavg_sgd,0.1,30,101,0.1_30_101,DoS,1.0,0,10,0.3333333333333333,0.18988379233158548,0.8387154653093393,0.6267179257735143,True
5,fedavg_sgd,0.1,30,101,0.1_30_101,Injection,0.9988193624557261,0,3,0.1,0.4531408325819619,0.9305867182462927,0.1258542538516419,True
5,fedavg_sgd,0.1,30,101,0.1_30_101,Ip Spoofing,0.0,1,3,0.1,0.38590057669505495,0.9213809650759797,0.004083024126072846,True
5,fedavg_sgd,0.1,30,101,0.1_30_101,MITM,0.0,1,4,0.13333333333333333,0.7567416893829628,0.9545522077278917,0.042388757475157225,True
5,fedavg_sgd,0.1,30,101,0.1_30_101,Manipulation,0.9753340184994861,0,2,0.06666666666666667,0.6165805391471502,0.9494289185905225,0.22406123931572255,True
5,fedavg_sgd,0.1,30,101,0.1_30_101,Password Cracking,0.0,1,1,0.03333333333333333,1.0,0.9666666666666667,0.22356638367497286,False
5,fedavg_sgd,0.1,30,101,0.1_30_101,Regular,0.9998938309907338,0,7,0.23333333333333334,0.30245732956654914,0.8908649930209419,0.6424542421313767,True
5,fedavg_sgd,0.1,30,101,0.1_30_101,Replay,0.0009216589861751152,0,2,0.06666666666666667,0.6087545048357998,0.9488792870645423,0.22482910272068282,True
5,fedavg_sgd,0.1,30,101,0.1_30_101,Unauth,0.0,1,2,0.06666666666666667,0.6032210387902697,0.9484786324786325,0.04762939033226952,True
5,fedavg_sgd,0.1,30,101,0.1_30_101,Video,0.0,1,5,0.16666666666666666,0.21183017105876717,0.853499023371725,0.025319028408620534,True
6,fednova_sgd,0.1,30,101,0.1_30_101,DoS,0.99989122631453,0,10,0.3333333333333333,0.18988379233158548,0.8387154653093393,0.6267179257735143,True
6,fednova_sgd,0.1,30,101,0.1_30_101,Injection,0.9763872491145218,0,3,0.1,0.4531408325819619,0.9305867182462927,0.1258542538516419,True
6,fednova_sgd,0.1,30,101,0.1_30_101,Ip Spoofing,0.9953325554259043,0,3,0.1,0.38590057669505495,0.9213809650759797,0.004083024126072846,True
6,fednova_sgd,0.1,30,101,0.1_30_101,MITM,0.2208638956805216,0,4,0.13333333333333333,0.7567416893829628,0.9545522077278917,0.042388757475157225,True
6,fednova_sgd,0.1,30,101,0.1_30_101,Manipulation,0.0,1,2,0.06666666666666667,0.6165805391471502,0.9494289185905225,0.22406123931572255,True
6,fednova_sgd,0.1,30,101,0.1_30_101,Password Cracking,0.0,1,1,0.03333333333333333,1.0,0.9666666666666667,0.22356638367497286,False
6,fednova_sgd,0.1,30,101,0.1_30_101,Regular,0.44271297208344884,0,7,0.23333333333333334,0.30245732956654914,0.8908649930209419,0.6424542421313767,True
6,fednova_sgd,0.1,30,101,0.1_30_101,Replay,0.005529953917050691,0,2,0.06666666666666667,0.6087545048357998,0.9488792870645423,0.22482910272068282,True
6,fednova_sgd,0.1,30,101,0.1_30_101,Unauth,0.0,1,2,0.06666666666666667,0.6032210387902697,0.9484786324786325,0.04762939033226952,True
6,fednova_sgd,0.1,30,101,0.1_30_101,Video,0.9023476523476524,0,5,0.16666666666666666,0.21183017105876717,0.853499023371725,0.025319028408620534,True
7,fedavg_sgd,0.3,10,101,0.3_10_101,DoS,0.999978245262906,0,5,0.5,0.3996931732022082,0.7663990777064611,0.9101846313837075,True
7,fedavg_sgd,0.3,10,101,0.3_10_101,Injection,0.0,1,2,0.2,0.5864700754613921,0.8415860735009671,0.02077323984406466,True
7,fedavg_sgd,0.3,10,101,0.3_10_101,Ip Spoofing,0.2310385064177363,0,3,0.3,0.566813534696977,0.83009864036257,0.2966566548316793,True
7,fedavg_sgd,0.3,10,101,0.3_10_101,MITM,0.0,1,2,0.2,0.7134537942675436,0.865338165610544,0.043403583610604424,True
7,fedavg_sgd,0.3,10,101,0.3_10_101,Manipulation,0.0,1,2,0.2,0.6182291323714177,0.8486269744835966,0.10285183817476404,True
7,fedavg_sgd,0.3,10,101,0.3_10_101,Password Cracking,0.0,1,1,0.1,1.0,0.9,0.10142959329749661,False
7,fedavg_sgd,0.3,10,101,0.3_10_101,Regular,0.4365728643808872,0,4,0.4,0.7064633688430162,0.8445878019424166,0.5209662521475525,True
7,fedavg_sgd,0.3,10,101,0.3_10_101,Replay,0.9732718894009217,0,3,0.3,0.3721221722918605,0.7507156359708345,0.40428543124529676,True
7,fedavg_sgd,0.3,10,101,0.3_10_101,Unauth,1.0,0,3,0.3,0.41148145226093946,0.7762393162393162,0.2734193687614005,True
7,fedavg_sgd,0.3,10,101,0.3_10_101,Video,0.96994671994672,0,2,0.2,0.500117631240607,0.8015338268520729,0.2041921342137795,True
8,fednova_sgd,0.3,10,101,0.3_10_101,DoS,0.999760697891966,0,5,0.5,0.3996931732022082,0.7663990777064611,0.9101846313837075,True
8,fednova_sgd,0.3,10,101,0.3_10_101,Injection,0.6741440377804014,0,2,0.2,0.5864700754613921,0.8415860735009671,0.02077323984406466,True
8,fednova_sgd,0.3,10,101,0.3_10_101,Ip Spoofing,0.8436406067677946,0,3,0.3,0.566813534696977,0.83009864036257,0.2966566548316793,True
8,fednova_sgd,0.3,10,101,0.3_10_101,MITM,0.1397347558716752,0,2,0.2,0.7134537942675436,0.865338165610544,0.043403583610604424,True
8,fednova_sgd,0.3,10,101,0.3_10_101,Manipulation,0.6176772867420349,0,2,0.2,0.6182291323714177,0.8486269744835966,0.10285183817476404,True
8,fednova_sgd,0.3,10,101,0.3_10_101,Password Cracking,0.0,1,1,0.1,1.0,0.9,0.10142959329749661,False
8,fednova_sgd,0.3,10,101,0.3_10_101,Regular,0.9961248311617839,0,4,0.4,0.7064633688430162,0.8445878019424166,0.5209662521475525,True
8,fednova_sgd,0.3,10,101,0.3_10_101,Replay,0.0,1,3,0.3,0.3721221722918605,0.7507156359708345,0.40428543124529676,True
8,fednova_sgd,0.3,10,101,0.3_10_101,Unauth,0.20883534136546184,0,3,0.3,0.41148145226093946,0.7762393162393162,0.2734193687614005,True
8,fednova_sgd,0.3,10,101,0.3_10_101,Video,0.061022311022311024,0,2,0.2,0.500117631240607,0.8015338268520729,0.2041921342137795,True
9,fedavg_sgd,0.3,15,101,0.3_15_101,DoS,0.999760697891966,0,6,0.4,0.3536554687864764,0.7965057296745793,0.9061439304374357,True
9,fedavg_sgd,0.3,15,101,0.3_15_101,Injection,0.58913813459268,0,4,0.26666666666666666,0.28721047255966387,0.7866924564796905,0.23204264688236295,True
9,fedavg_sgd,0.3,15,101,0.3_15_101,Ip Spoofing,0.8051341890315052,0,3,0.2,0.4322060105041926,0.8592197636185905,0.2931601090542769,True
9,fedavg_sgd,0.3,15,101,0.3_15_101,MITM,0.24079425057420167,0,5,0.3333333333333333,0.21133030089427357,0.7037446396614404,0.23644146704233526,True
9,fedavg_sgd,0.3,15,101,0.3_15_101,Manipulation,0.0,1,3,0.2,0.3743348948590714,0.8340542729850142,0.04551137098266982,True
9,fedavg_sgd,0.3,15,101,0.3_15_101,Password Cracking,0.0,1,1,0.06666666666666667,1.0,0.9333333333333333,0.19777668429977463,False
9,fedavg_sgd,0.3,15,101,0.3_15_101,Regular,0.9979120094844315,0,8,0.5333333333333333,0.32446816073445833,0.7725127070424614,0.9120268524297691,True
9,fedavg_sgd,0.3,15,101,0.3_15_101,Replay,0.9188940092165898,0,2,0.13333333333333333,0.6354022900321895,0.9013592582590692,0.27585225396512386,True
