algorithm,alpha,n_clients,partition_seed,model_seed,class,n_holders,max_local_recall,weighted_local_recall_pre,weighted_local_recall_post,max_local_margin_post,holder_weight_share_this_class,global_recall,global_margin_post_agg,global_recall_pre,global_margin_pre,class_evaluable,local_learning_gain,aggregation_recall_loss,aggregation_margin_change,strict_erosion,practical_erosion,holder_fraction,anchor,gini,hhi
fedavg_sgd,0.1,30,102,11,DoS,9.0,1.0,0.9999780400549397,0.9999651192485167,54.94375671561605,0.4659382118782097,0.999978245262906,16.55207990582918,0.999978245262906,16.213470142303173,True,-1.29208064230113e-05,2.1754737093981902e-05,-38.391676809786865,0.0,0.0,0.3,heavy_a0.1_nc30,0.8974547417288697,0.31830586126763616
fedavg_sgd,0.1,30,102,11,Injection,3.0,1.0,0.009584775457910233,0.9905771342190047,17.689017903198074,0.0761626549563234,0.011806375442739,-0.7849074975095927,0.011806375442739,-0.4949705806223251,True,0.9809923587610945,0.988193624557261,-18.473925400707667,0.0,0.0,0.1,heavy_a0.1_nc30,0.9239845261121857,0.41260822555361426
fedavg_sgd,0.1,30,102,11,Ip Spoofing,7.0,1.0,0.9775689793104692,1.0,28.40007449234844,0.2428541264170126,0.9743290548424738,1.053634447700919,0.9929988331388564,1.181983832022134,True,0.022431020689530845,0.025670945157526215,-27.346440044647522,0.0,0.0,0.23333333333333334,heavy_a0.1_nc30,0.8306229449924465,0.176893519765919
fedavg_sgd,0.1,30,102,11,MITM,3.0,1.0,0.16339451299274294,0.9902647112411284,27.107494803573378,0.1078124869193469,0.1944135733866785,-0.9056761329629964,0.1842631695932429,-1.0324174324618434,True,0.8268701982483855,0.8055864266133215,-28.013170936536373,0.0,0.0,0.1,heavy_a0.1_nc30,0.9402849842988508,0.5172796280002712
fedavg_sgd,0.1,30,102,11,Manipulation,2.0,1.0,0.19403377531428342,1.0,44.000556131155534,0.0326167538400146,0.1911613566289825,-0.7694735081075764,0.1202466598150051,-0.8932103689258415,True,0.8059662246857165,0.8088386433710175,-44.77002963926311,0.0,0.0,0.06666666666666667,heavy_a0.1_nc30,0.9334386391251519,0.5000049901894057
fedavg_sgd,0.1,30,102,11,Password Cracking,1.0,0.9999929659198818,0.9999929659198818,0.9999929659198818,13.877907850253226,0.0811433025660869,0.0,,0.0,,False,0.0,,,,,0.03333333333333333,heavy_a0.1_nc30,0.9666666666666667,1.0
fedavg_sgd,0.1,30,102,11,Regular,7.0,0.9993337573059567,0.9906917962655662,0.9899883757033395,9.564101795937308,0.4036370959415326,0.9896721147097164,4.845656370776464,0.9908930583162776,4.994983410631499,True,-0.0007034205622267198,0.00966164259624036,-4.718445425160844,0.0,0.0,0.23333333333333334,heavy_a0.1_nc30,0.8736465451806605,0.26198392568578754
fedavg_sgd,0.1,30,102,11,Replay,4.0,0.0,0.0,0.0,-3.5981976406423417,0.0017222278549775,0.0,-7.506123541906682,0.0,-7.634643217165898,True,0.0,0.0,-3.90792590126434,0.0,0.0,0.13333333333333333,heavy_a0.1_nc30,0.8695922225222792,0.25043120331669394
fedavg_sgd,0.1,30,102,11,Unauth,3.0,1.0,0.98579654387537,1.0,29.29345238095238,0.0941709354166879,0.9772423025435074,0.6659191953768852,0.9678714859437751,0.3992135866259635,True,0.014203456124630032,0.022757697456492587,-28.627533185575494,0.0,0.0,0.1,heavy_a0.1_nc30,0.9197606837606838,0.38275555555555557
fedavg_sgd,0.1,30,102,11,Video,4.0,1.0,0.6948804059049705,0.9463041479896261,12.5773706427364,0.1976748296143195,0.7343489843489843,1.2033935302978271,0.6962204462204462,1.0278243485030594,True,0.2514237420846557,0.2656510156510157,-11.373977112438572,0.0,0.0,0.13333333333333333,heavy_a0.1_nc30,0.892333927270278,0.2811618759734052
fedavg_sgd,0.1,30,102,22,DoS,9.0,1.0,0.9999720232538798,0.9999836581525808,38.31602569842407,0.4659382118782097,0.99989122631453,15.40466198917158,0.999934735788718,15.562950093613352,True,1.1634898701040619e-05,0.00010877368547002053,-22.91136370925249,0.0,0.0,0.3,heavy_a0.1_nc30,0.8974547417288697,0.31830586126763616
fedavg_sgd,0.1,30,102,22,Injection,3.0,1.0,0.0,0.9950114239982967,21.87793103077717,0.0761626549563234,0.0,-0.9113061177547594,0.0,-0.9500958691521548,True,0.9950114239982967,1.0,-22.789237148531928,1.0,1.0,0.1,heavy_a0.1_nc30,0.9239845261121857,0.41260822555361426
fedavg_sgd,0.1,30,102,22,Ip Spoofing,7.0,1.0,0.9223718570226758,1.0,28.744518834608595,0.2428541264170126,0.9883313885647608,1.0290843558561844,0.971995332555426,1.0451648048926123,True,0.07762814297732423,0.011668611435239229,-27.71543447875241,0.0,0.0,0.23333333333333334,heavy_a0.1_nc30,0.8306229449924465,0.176893519765919
fedavg_sgd,0.1,30,102,22,MITM,3.0,1.0,0.24544888863400077,0.9901876154615503,29.642998828606935,0.1078124869193469,0.206268059568793,-0.8758313117614099,0.2313847521671482,-0.8633410053941385,True,0.7447387268275496,0.793731940431207,-30.518830140368344,0.0,0.0,0.1,heavy_a0.1_nc30,0.9402849842988508,0.5172796280002712
fedavg_sgd,0.1,30,102,22,Manipulation,2.0,1.0,0.26465498874183824,1.0,48.77608864578254,0.0326167538400146,0.2466598150051387,-0.6740735672483219,0.1870503597122302,-0.7601343450908916,True,0.7353450112581618,0.7533401849948613,-49.450162213030865,0.0,0.0,0.06666666666666667,heavy_a0.1_nc30,0.9334386391251519,0.5000049901894057
fedavg_sgd,0.1,30,102,22,Password Cracking,1.0,0.9999929659198818,1.0,0.9999929659198818,15.6871201528044,0.0811433025660869,0.0,,0.0,,False,-7.034080118151209e-06,,,,,0.03333333333333333,heavy_a0.1_nc30,0.9666666666666667,1.0
fedavg_sgd,0.1,30,102,22,Regular,7.0,0.998955210320705,0.98972308371889,0.985956688093146,9.640203358100782,0.4036370959415326,0.989442081856306,4.6567535194289285,0.9898962492848338,4.765319775618434,True,-0.00376639562574399,0.009513128464399001,-4.983449838671854,0.0,0.0,0.23333333333333334,heavy_a0.1_nc30,0.8736465451806605,0.26198392568578754
fedavg_sgd,0.1,30,102,22,Replay,4.0,0.0011261261261261,0.0,0.0005401026194977149,-4.561287204263664,0.0017222278549775,0.0,-8.461566640264977,0.0,-8.35763428859447,True,0.0005401026194977149,0.0011261261261261,-3.9002794360013127,1.0,0.0,0.13333333333333333,heavy_a0.1_nc30,0.8695922225222792,0.25043120331669394
fedavg_sgd,0.1,30,102,22,Unauth,3.0,1.0,0.9919935808792093,1.0,29.09578373015873,0.0941709354166879,0.9785809906291834,0.7345222360797357,0.9906291834002676,0.7898525202290281,True,0.008006419120790698,0.021419009370816644,-28.36126149407899,0.0,0.0,0.1,heavy_a0.1_nc30,0.9197606837606838,0.38275555555555557
fedavg_sgd,0.1,30,102,22,Video,4.0,1.0,0.673814996187736,0.9637573386499351,12.642286968170186,0.1976748296143195,0.7159507159507159,1.2372270876909548,0.6578421578421578,1.018635132770875,True,0.2899423424621991,0.2840492840492841,-11.405059880479232,0.0,0.0,0.13333333333333333,heavy_a0.1_nc30,0.892333927270278,0.2811618759734052
fedavg_sgd,0.1,30,102,33,DoS,9.0,1.0,0.9998635491709851,0.9999805804392147,72.51414756446991,0.4659382118782097,0.999934735788718,17.009835180673093,0.999760697891966,16.587323939592533,True,0.00011703126822959486,6.52642112819457e-05,-55.504312383796815,0.0,0.0,0.3,heavy_a0.1_nc30,0.8974547417288697,0.31830586126763616
