partition_id,mean_zero_recall,mean_hhi,mean_gini,mean_holder_fraction,mean_holder_weight_share
0.1_10_101,0.2222222222222222,0.7072300212800428,0.8461675246944889,0.21111111111111114,0.2207172430215588
0.1_10_102,0.16666666666666666,0.5611216798506181,0.8054475952462982,0.2777777777777778,0.3296067747680261
0.1_10_103,0.1111111111111111,0.4717697963462123,0.770823857500917,0.2888888888888889,0.3106257846453984
0.1_15_101,0.2777777777777778,0.556775909017259,0.8748200841583693,0.2,0.24773576155730284
0.1_15_102,0.2222222222222222,0.37038811657339504,0.8177105671434399,0.23703703703703705,0.24719847938344378
0.1_15_103,0.2222222222222222,0.46146442231879337,0.8457043445537415,0.2074074074074074,0.2874488052305869
0.1_30_101,0.3333333333333333,0.45872338604334456,0.9151540234317631,0.14074074074074072,0.21814855157056204
0.1_30_102,0.16666666666666666,0.34460275392314316,0.8979021349990453,0.15555555555555556,0.18028770253760276
0.1_30_103,0.3888888888888889,0.4735415681063839,0.8945981105809575,0.16666666666666666,0.20145125615094298
0.3_10_101,0.2222222222222222,0.5416493705151069,0.8139028347409754,0.2888888888888889,0.3085259038014277
0.3_10_102,0.05555555555555555,0.422517856737193,0.7690178244069287,0.2888888888888889,0.37649615541195647
0.3_10_103,0.05555555555555555,0.5682112398002397,0.7926092774482522,0.30000000000000004,0.3655319196874513
0.3_15_101,0.16666666666666666,0.35273658026894955,0.7982391557255358,0.2962962962962963,0.3452341050621521
0.3_15_102,0.2222222222222222,0.3739571916418305,0.8156345878286106,0.2518518518518518,0.276368503740718
0.3_15_103,0.16666666666666666,0.40211508897074205,0.8126148176040715,0.2740740740740741,0.30969193582710397
0.3_30_101,0.3888888888888889,0.24464389228015537,0.8597496224808117,0.2037037037037037,0.29092235489686424
0.3_30_102,0.1111111111111111,0.2585852062063043,0.8735745899113174,0.18888888888888888,0.21413854655689304
0.3_30_103,0.2777777777777778,0.27460353708416585,0.8712888345225137,0.1851851851851852,0.2235999735002117
1.0_10_101,0.05555555555555555,0.2982599258986427,0.6638615055881262,0.47777777777777775,0.4656720771090095
1.0_10_102,0.16666666666666666,0.31508003409760577,0.6812292071730716,0.4555555555555556,0.4840552200190397
1.0_10_103,0.1111111111111111,0.31441529977577937,0.6733157737639692,0.4555555555555555,0.4646359601920263
1.0_15_101,0.2222222222222222,0.3828111295835043,0.7763246602574037,0.3407407407407408,0.40090376267021127
1.0_15_102,0.16666666666666666,0.2889201313144731,0.744991370806852,0.3555555555555555,0.38018059750407956
1.0_15_103,0.1111111111111111,0.2977451846311093,0.7621255355213356,0.34814814814814815,0.43576912276502344
1.0_30_101,0.2222222222222222,0.21469721228231708,0.8396687835053466,0.2185185185185185,0.25171884303412656
1.0_30_102,0.16666666666666666,0.26055643595087624,0.850203780489847,0.2185185185185185,0.22250463513749968
1.0_30_103,0.16666666666666666,0.21717667912628888,0.8370414648162163,0.2296296296296296,0.24006084822680349
