alpha,n_clients,partition_seed,class,fedavg_sgd,fednova_sgd,partition_id,hhi,n_holders,holder_fraction,rescued
0.1,30,102,MITM,0.0,0.0,0.1_30_102,0.5172796280002712,3,0.1,False
0.1,30,102,Manipulation,0.0,0.0,0.1_30_102,0.5000049901894057,2,0.06666666666666667,False
0.1,30,102,Regular,0.0,0.0,0.1_30_102,0.26198392568578754,7,0.23333333333333334,False
0.1,30,102,Replay,1.0,1.0,0.1_30_102,0.25043120331669394,4,0.13333333333333333,False
0.1,30,102,Unauth,0.0,0.0,0.1_30_102,0.38275555555555557,3,0.1,False
0.1,30,102,Video,0.0,0.0,0.1_30_102,0.2811618759734052,4,0.13333333333333333,False
0.1,30,103,DoS,0.0,0.0,0.1_30_103,0.18540503956527135,10,0.3333333333333333,False
0.1,30,103,Injection,0.0,0.0,0.1_30_103,0.5000545476993067,2,0.06666666666666667,False
0.1,30,103,Ip Spoofing,1.0,1.0,0.1_30_103,0.7925074774337257,2,0.06666666666666667,False
0.1,30,103,MITM,0.0,0.0,0.1_30_103,0.45239411694064874,4,0.13333333333333333,False
0.1,30,103,Manipulation,1.0,1.0,0.1_30_103,0.500000029527748,2,0.06666666666666667,False
0.1,30,103,Regular,0.0,0.0,0.1_30_103,0.11900010938811188,17,0.5666666666666667,False
0.1,30,103,Replay,0.0,0.0,0.1_30_103,0.38387257662131613,3,0.1,False
0.1,30,103,Unauth,1.0,1.0,0.1_30_103,1.0,1,0.03333333333333333,False
0.1,30,103,Video,1.0,0.0,0.1_30_103,0.3286402157813272,4,0.13333333333333333,True
0.3,10,101,DoS,0.0,0.0,0.3_10_101,0.3996931732022082,5,0.5,False
0.3,10,101,Injection,1.0,0.0,0.3_10_101,0.5864700754613921,2,0.2,True
0.3,10,101,Ip Spoofing,0.0,0.0,0.3_10_101,0.566813534696977,3,0.3,False
0.3,10,101,MITM,1.0,0.0,0.3_10_101,0.7134537942675436,2,0.2,True
0.3,10,101,Manipulation,1.0,0.0,0.3_10_101,0.6182291323714177,2,0.2,True
0.3,10,101,Regular,0.0,0.0,0.3_10_101,0.7064633688430162,4,0.4,False
0.3,10,101,Replay,0.0,1.0,0.3_10_101,0.3721221722918605,3,0.3,False
0.3,10,101,Unauth,0.0,0.0,0.3_10_101,0.41148145226093946,3,0.3,False
0.3,10,101,Video,0.0,0.0,0.3_10_101,0.500117631240607,2,0.2,False
0.3,10,102,DoS,0.0,0.0,0.3_10_102,0.4050462592739401,3,0.3,False
0.3,10,102,Injection,0.0,0.0,0.3_10_102,0.3403505568878629,3,0.3,False
0.3,10,102,Ip Spoofing,0.0,0.0,0.3_10_102,0.36756774217713273,3,0.3,False
0.3,10,102,MITM,1.0,0.0,0.3_10_102,0.49379331358344314,3,0.3,True
0.3,10,102,Manipulation,0.0,0.0,0.3_10_102,0.500000029527748,2,0.2,False
0.3,10,102,Regular,0.0,0.0,0.3_10_102,0.4894725356504092,3,0.3,False
0.3,10,102,Replay,0.0,0.0,0.3_10_102,0.38026994775240075,3,0.3,False
0.3,10,102,Unauth,0.0,0.0,0.3_10_102,0.551968675578932,2,0.2,False
0.3,10,102,Video,0.0,0.0,0.3_10_102,0.27419165020286795,4,0.4,False
0.3,10,103,DoS,0.0,0.0,0.3_10_103,0.2892522141352194,5,0.5,False
0.3,10,103,Injection,0.0,0.0,0.3_10_103,0.7608179910134724,2,0.2,False
0.3,10,103,Ip Spoofing,0.0,0.0,0.3_10_103,0.28924440019584935,5,0.5,False
0.3,10,103,MITM,0.0,0.0,0.3_10_103,0.26300820219917775,4,0.4,False
0.3,10,103,Manipulation,0.0,1.0,0.3_10_103,1.0,1,0.1,False
0.3,10,103,Regular,0.0,0.0,0.3_10_103,0.7055776113104298,4,0.4,False
0.3,10,103,Replay,0.0,0.0,0.3_10_103,0.6249324962885265,2,0.2,False
0.3,10,103,Unauth,0.0,0.0,0.3_10_103,0.5002782380013149,2,0.2,False
0.3,10,103,Video,0.0,0.0,0.3_10_103,0.6807900050581678,2,0.2,False
0.3,15,101,DoS,0.0,0.0,0.3_15_101,0.3536554687864764,6,0.4,False
0.3,15,101,Injection,0.0,0.0,0.3_15_101,0.28721047255966387,4,0.26666666666666666,False
0.3,15,101,Ip Spoofing,0.0,0.0,0.3_15_101,0.4322060105041926,3,0.2,False
0.3,15,101,MITM,0.0,0.0,0.3_15_101,0.21133030089427357,5,0.3333333333333333,False
0.3,15,101,Manipulation,1.0,1.0,0.3_15_101,0.3743348948590714,3,0.2,False
0.3,15,101,Regular,0.0,0.0,0.3_15_101,0.32446816073445833,8,0.5333333333333333,False
0.3,15,101,Replay,0.0,0.0,0.3_15_101,0.6354022900321895,2,0.13333333333333333,False
0.3,15,101,Unauth,0.0,1.0,0.3_15_101,0.344191452991453,4,0.26666666666666666,False
0.3,15,101,Video,0.0,0.0,0.3_15_101,0.21183017105876717,5,0.3333333333333333,False
0.3,15,102,DoS,0.0,0.0,0.3_15_102,0.25074765757868933,5,0.3333333333333333,False
0.3,15,102,Injection,0.0,0.0,0.3_15_102,0.27420971308209463,4,0.26666666666666666,False
0.3,15,102,Ip Spoofing,1.0,0.0,0.3_15_102,0.32095026148185773,4,0.26666666666666666,True
0.3,15,102,MITM,0.0,0.0,0.3_15_102,0.616328858666161,2,0.13333333333333333,False
0.3,15,102,Manipulation,0.0,0.0,0.3_15_102,0.3751567111403764,3,0.2,False
0.3,15,102,Regular,0.0,0.0,0.3_15_102,0.19809222275638913,8,0.5333333333333333,False
0.3,15,102,Replay,0.0,1.0,0.3_15_102,0.38387257662131613,3,0.2,False
0.3,15,102,Unauth,1.0,0.0,0.3_15_102,0.5497876543209876,2,0.13333333333333333,True
0.3,15,102,Video,1.0,0.0,0.3_15_102,0.3964690691286019,3,0.2,True
0.3,15,103,DoS,0.0,0.0,0.3_15_103,0.23013546068371868,7,0.4666666666666667,False
0.3,15,103,Injection,1.0,1.0,0.3_15_103,0.393674113038696,3,0.2,False
0.3,15,103,Ip Spoofing,0.0,0.0,0.3_15_103,0.4545083543348718,3,0.2,False
