algorithm,config,seed,round,val_macro_f1,val_loss,manipulation_predicted_count,replay_predicted_count,manipulation_recall,replay_recall,elapsed_seconds,diverged
fedavg_sgd,lr=0.5,11,1,0.2654666389001151,0.11900187244457078,0,0,0.0,0.0,22.865871906280518,False
fedavg_sgd,lr=0.5,11,2,0.27328091147018574,0.11333903098094149,0,0,0.0,0.0,43.859548807144165,False
fedavg_sgd,lr=0.5,11,3,0.30416033746579546,0.09710033650722362,0,0,0.0,0.0,64.5255959033966,False
fedavg_sgd,lr=0.5,11,4,0.3237007229604435,0.08721911244310249,0,0,0.0,0.0,85.38336896896362,False
fedavg_sgd,lr=0.5,11,5,0.3656986618747033,0.08077170175188654,0,0,0.0,0.0,106.25275993347168,False
fedavg_sgd,lr=0.5,11,6,0.35515932190075805,0.07928376048391945,0,0,0.0,0.0,126.45036292076111,False
fedavg_sgd,lr=0.5,11,7,0.3488824820611676,0.07604492500680479,0,0,0.0,0.0,147.2303590774536,False
fedavg_sgd,lr=0.5,11,8,0.4125711705412716,0.07481274743889452,0,0,0.0,0.0,168.14434790611267,False
fedavg_sgd,lr=0.5,11,9,0.3733755861727855,0.07288488510894332,0,0,0.0,0.0,188.91776990890503,False
fedavg_sgd,lr=0.5,11,10,0.3820730899651749,0.06801795282920035,0,0,0.0,0.0,209.58725094795227,False
fedavg_sgd,lr=0.5,11,11,0.4063892457967083,0.063584484680085,0,0,0.0,0.0,230.3264319896698,False
fedavg_sgd,lr=0.5,11,12,0.4079689080585857,0.06439484076812277,0,3,0.0,0.0027649769585253456,252.29086804389954,False
fedavg_sgd,lr=0.5,11,13,0.43687025027802107,0.05993556010392257,0,0,0.0,0.0,272.1007077693939,False
fedavg_sgd,lr=0.5,11,14,0.5012835362975286,0.05624168854273653,0,724,0.0,0.4184331797235023,292.6946151256561,False
fedavg_sgd,lr=0.5,11,15,0.44219319524408696,0.05995561501252579,0,110,0.0,0.09861751152073733,314.236958026886,False
fedavg_sgd,lr=1.0,11,1,,0.16186511322855948,,,,,21.22697877883911,True
fedavg_sgd,lr=2.0,11,1,,175332.77871040523,,,,,19.571609020233154,True
fednova_sgd,lr=0.5,11,1,0.20341410831479192,0.19086218417111012,0,0,0.0,0.0,21.117762088775635,False
fednova_sgd,lr=0.5,11,2,0.22422699747729086,0.08012277978336821,0,0,0.0,0.0,42.03021287918091,False
fednova_sgd,lr=0.5,11,3,0.36847005230300856,0.15322544287720444,3,1925,0.003083247687564234,0.7640552995391705,63.00213098526001,False
fednova_sgd,lr=0.5,11,4,0.3507562502750326,0.06468403065494625,0,0,0.0,0.0,84.0394299030304,False
fednova_sgd,lr=0.5,11,5,0.3473588194732311,0.11813570104114134,0,2417,0.0,0.8995391705069125,105.11529517173767,False
fednova_sgd,lr=0.5,11,6,0.4466766144651397,0.05341485188781979,0,328,0.0,0.22027649769585253,126.0004050731659,False
fednova_sgd,lr=0.5,11,7,0.3386565378035048,0.09471637167678222,0,2595,0.0,0.9520737327188941,146.88499689102173,False
fednova_sgd,lr=0.5,11,8,0.4467953894676247,0.04906783603734384,0,2437,0.0,0.9640552995391705,167.79154109954834,False
fednova_sgd,lr=0.5,11,9,0.39790385335338896,0.08631297305954166,1663,705,0.6104830421377184,0.24516129032258063,188.8138551712036,False
fednova_sgd,lr=0.5,11,10,0.4739509216915867,0.04931684708247641,0,2503,0.0,0.9723502304147466,211.4455590248108,False
fednova_sgd,lr=0.5,11,11,0.39995383391129,0.07985365879096466,2132,27,0.7379239465570401,0.020276497695852536,232.94723510742188,False
fednova_sgd,lr=0.5,11,12,0.4804533260489192,0.04784420557150357,0,2510,0.0,0.976036866359447,254.35547614097595,False
fednova_sgd,lr=0.5,11,13,0.40963892891618586,0.06711278787042259,2329,202,0.7389516957862282,0.06267281105990784,275.4772071838379,False
fednova_sgd,lr=0.5,11,14,0.4823924079386962,0.04772736735632642,0,2497,0.0,0.9705069124423963,296.3508970737457,False
fednova_sgd,lr=0.5,11,15,0.43091517141108426,0.06602184454198204,2047,425,0.7040082219938335,0.14101382488479264,317.4470250606537,False
fednova_sgd,lr=1.0,11,1,,0.16186511322855948,,,,,19.07681679725647,True
fednova_sgd,lr=2.0,11,1,,175332.77871040523,,,,,19.295617818832397,True
