seed,round,class,client_a,client_b,role_a,role_b,cosine_similarity
22,20,Manipulation,7,8,non_holder,non_holder,0.8903206586837769
22,20,Manipulation,7,9,non_holder,non_holder,0.9143876433372498
22,20,Manipulation,7,10,non_holder,non_holder,0.9466248154640198
22,20,Manipulation,7,11,non_holder,non_holder,0.9271873235702515
22,20,Manipulation,7,12,non_holder,non_holder,0.9869041442871094
22,20,Manipulation,7,13,non_holder,holder,-0.9231821298599243
22,20,Manipulation,7,14,non_holder,non_holder,0.9860461354255676
22,20,Manipulation,8,9,non_holder,non_holder,0.9552150368690491
22,20,Manipulation,8,10,non_holder,non_holder,0.895517110824585
22,20,Manipulation,8,11,non_holder,non_holder,0.9710244536399841
22,20,Manipulation,8,12,non_holder,non_holder,0.8898227214813232
22,20,Manipulation,8,13,non_holder,holder,-0.9080808162689209
22,20,Manipulation,8,14,non_holder,non_holder,0.9061532020568848
22,20,Manipulation,9,10,non_holder,non_holder,0.8933274149894714
22,20,Manipulation,9,11,non_holder,non_holder,0.9867447018623352
22,20,Manipulation,9,12,non_holder,non_holder,0.9166973829269409
22,20,Manipulation,9,13,non_holder,holder,-0.8981385827064514
22,20,Manipulation,9,14,non_holder,non_holder,0.9213966727256775
22,20,Manipulation,10,11,non_holder,non_holder,0.901759684085846
22,20,Manipulation,10,12,non_holder,non_holder,0.9542443156242371
22,20,Manipulation,10,13,non_holder,holder,-0.975319504737854
22,20,Manipulation,10,14,non_holder,non_holder,0.9548433423042297
22,20,Manipulation,11,12,non_holder,non_holder,0.9245844483375549
22,20,Manipulation,11,13,non_holder,holder,-0.9055379629135132
22,20,Manipulation,11,14,non_holder,non_holder,0.9353346824645996
22,20,Manipulation,12,13,non_holder,holder,-0.9342429637908936
22,20,Manipulation,12,14,non_holder,non_holder,0.9767088890075684
22,20,Manipulation,13,14,holder,non_holder,-0.9293968677520752
22,20,Replay,0,1,non_holder,holder,-0.6876398921012878
22,20,Replay,0,2,non_holder,non_holder,0.8199807405471802
22,20,Replay,0,3,non_holder,non_holder,0.7909249663352966
22,20,Replay,0,4,non_holder,holder,-0.5932592153549194
22,20,Replay,0,5,non_holder,non_holder,0.8286181092262268
22,20,Replay,0,6,non_holder,non_holder,0.7185994982719421
22,20,Replay,0,7,non_holder,non_holder,0.8193490505218506
22,20,Replay,0,8,non_holder,non_holder,0.8111606240272522
22,20,Replay,0,9,non_holder,non_holder,0.8144200444221497
22,20,Replay,0,10,non_holder,holder,-0.5713715553283691
22,20,Replay,0,11,non_holder,non_holder,0.7862377762794495
22,20,Replay,0,12,non_holder,non_holder,0.8190165758132935
22,20,Replay,0,13,non_holder,non_holder,0.7916450500488281
22,20,Replay,0,14,non_holder,non_holder,0.7818583846092224
22,20,Replay,1,2,holder,non_holder,-0.9366990327835083
22,20,Replay,1,3,holder,non_holder,-0.9232027530670166
22,20,Replay,1,4,holder,holder,0.9250213503837585
22,20,Replay,1,5,holder,non_holder,-0.8941415548324585
22,20,Replay,1,6,holder,non_holder,-0.7530660629272461
22,20,Replay,1,7,holder,non_holder,-0.9150179624557495
22,20,Replay,1,8,holder,non_holder,-0.926279604434967
22,20,Replay,1,9,holder,non_holder,-0.9253273010253906
22,20,Replay,1,10,holder,holder,0.9624573588371277
22,20,Replay,1,11,holder,non_holder,-0.9404222965240479
22,20,Replay,1,12,holder,non_holder,-0.9077028632164001
22,20,Replay,1,13,holder,non_holder,-0.9501330852508545
22,20,Replay,1,14,holder,non_holder,-0.932712972164154
22,20,Replay,2,3,non_holder,non_holder,0.9859956502914429
22,20,Replay,2,4,non_holder,holder,-0.8572331070899963
22,20,Replay,2,5,non_holder,non_holder,0.9635319709777832
22,20,Replay,2,6,non_holder,non_holder,0.8629187941551208
22,20,Replay,2,7,non_holder,non_holder,0.9765255451202393
22,20,Replay,2,8,non_holder,non_holder,0.9675806760787964
22,20,Replay,2,9,non_holder,non_holder,0.9658380746841431
22,20,Replay,2,10,non_holder,holder,-0.8604326844215393
22,20,Replay,2,11,non_holder,non_holder,0.9648206233978271
22,20,Replay,2,12,non_holder,non_holder,0.9760233163833618
22,20,Replay,2,13,non_holder,non_holder,0.9951087832450867
22,20,Replay,2,14,non_holder,non_holder,0.9670321941375732
22,20,Replay,3,4,non_holder,holder,-0.8563454747200012
22,20,Replay,3,5,non_holder,non_holder,0.9413962364196777
22,20,Replay,3,6,non_holder,non_holder,0.8473962545394897
22,20,Replay,3,7,non_holder,non_holder,0.9660854935646057
22,20,Replay,3,8,non_holder,non_holder,0.9523979425430298
22,20,Replay,3,9,non_holder,non_holder,0.9454456567764282
22,20,Replay,3,10,non_holder,holder,-0.8548653721809387
22,20,Replay,3,11,non_holder,non_holder,0.946872889995575
22,20,Replay,3,12,non_holder,non_holder,0.9517454504966736
22,20,Replay,3,13,non_holder,non_holder,0.9843783378601074
22,20,Replay,3,14,non_holder,non_holder,0.9537337422370911
22,20,Replay,4,5,holder,non_holder,-0.8102161288261414
22,20,Replay,4,6,holder,non_holder,-0.6541116237640381
22,20,Replay,4,7,holder,non_holder,-0.8546093702316284
22,20,Replay,4,8,holder,non_holder,-0.8481674194335938
22,20,Replay,4,9,holder,non_holder,-0.8618520498275757
22,20,Replay,4,10,holder,holder,0.9364989399909973
22,20,Replay,4,11,holder,non_holder,-0.8861308097839355
22,20,Replay,4,12,holder,non_holder,-0.8300543427467346
22,20,Replay,4,13,holder,non_holder,-0.8686541318893433
22,20,Replay,4,14,holder,non_holder,-0.8785614967346191
22,20,Replay,5,6,non_holder,non_holder,0.8887397050857544
22,20,Replay,5,7,non_holder,non_holder,0.9706909656524658
22,20,Replay,5,8,non_holder,non_holder,0.9488607048988342
22,20,Replay,5,9,non_holder,non_holder,0.9481193423271179
22,20,Replay,5,10,non_holder,holder,-0.8038584589958191
22,20,Replay,5,11,non_holder,non_holder,0.9398497343063354
22,20,Replay,5,12,non_holder,non_holder,0.9419404864311218
22,20,Replay,5,13,non_holder,non_holder,0.9629186987876892
22,20,Replay,5,14,non_holder,non_holder,0.944931149482727
22,20,Replay,6,7,non_holder,non_holder,0.8393075466156006
22,20,Replay,6,8,non_holder,non_holder,0.8159083724021912
22,20,Replay,6,9,non_holder,non_holder,0.7783422470092773
22,20,Replay,6,10,non_holder,holder,-0.6485013961791992
22,20,Replay,6,11,non_holder,non_holder,0.7713495492935181
22,20,Replay,6,12,non_holder,non_holder,0.8065019845962524
22,20,Replay,6,13,non_holder,non_holder,0.8637704849243164
22,20,Replay,6,14,non_holder,non_holder,0.7954939603805542
22,20,Replay,7,8,non_holder,non_holder,0.9492290616035461
22,20,Replay,7,9,non_holder,non_holder,0.9624428153038025
22,20,Replay,7,10,non_holder,holder,-0.8464759588241577
22,20,Replay,7,11,non_holder,non_holder,0.9585157632827759
22,20,Replay,7,12,non_holder,non_holder,0.9718161821365356
22,20,Replay,7,13,non_holder,non_holder,0.9679309129714966
22,20,Replay,7,14,non_holder,non_holder,0.9823703765869141
22,20,Replay,8,9,non_holder,non_holder,0.9705840945243835
22,20,Replay,8,10,non_holder,holder,-0.8592007160186768
22,20,Replay,8,11,non_holder,non_holder,0.9763708710670471
22,20,Replay,8,12,non_holder,non_holder,0.9410879611968994
22,20,Replay,8,13,non_holder,non_holder,0.9675288200378418
22,20,Replay,8,14,non_holder,non_holder,0.9502791166305542
22,20,Replay,9,10,non_holder,holder,-0.8595730066299438
22,20,Replay,9,11,non_holder,non_holder,0.9875865578651428
22,20,Replay,9,12,non_holder,non_holder,0.9629292488098145
22,20,Replay,9,13,non_holder,non_holder,0.9606165885925293
22,20,Replay,9,14,non_holder,non_holder,0.9727481007575989
22,20,Replay,10,11,holder,non_holder,-0.8843316435813904
22,20,Replay,10,12,holder,non_holder,-0.8333797454833984
22,20,Replay,10,13,holder,non_holder,-0.8819139003753662
22,20,Replay,10,14,holder,non_holder,-0.8758942484855652
22,20,Replay,11,12,non_holder,non_holder,0.9590287208557129
22,20,Replay,11,13,non_holder,non_holder,0.9624266028404236
22,20,Replay,11,14,non_holder,non_holder,0.9733473062515259
22,20,Replay,12,13,non_holder,non_holder,0.9657366275787354
22,20,Replay,12,14,non_holder,non_holder,0.9607561230659485
22,20,Replay,13,14,non_holder,non_holder,0.9603846669197083
22,30,Manipulation,0,1,non_holder,non_holder,0.7403337359428406
22,30,Manipulation,0,2,non_holder,holder,-0.6495859026908875
22,30,Manipulation,0,3,non_holder,non_holder,0.6758276224136353
22,30,Manipulation,0,4,non_holder,non_holder,0.7273858189582825
22,30,Manipulation,0,5,non_holder,non_holder,0.8955060243606567
22,30,Manipulation,0,6,non_holder,non_holder,0.8539431095123291
22,30,Manipulation,0,7,non_holder,non_holder,0.8661892414093018
22,30,Manipulation,0,8,non_holder,non_holder,0.6564788818359375
22,30,Manipulation,0,9,non_holder,non_holder,0.7753615975379944
22,30,Manipulation,0,10,non_holder,non_holder,0.7928661108016968
22,30,Manipulation,0,11,non_holder,non_holder,0.7872008085250854
22,30,Manipulation,0,12,non_holder,non_holder,0.8179036974906921
22,30,Manipulation,0,13,non_holder,holder,-0.7746082544326782
22,30,Manipulation,0,14,non_holder,non_holder,0.7358307838439941
22,30,Manipulation,1,2,non_holder,holder,-0.9367556571960449
22,30,Manipulation,1,3,non_holder,non_holder,0.9689193964004517
22,30,Manipulation,1,4,non_holder,non_holder,0.9682695269584656
22,30,Manipulation,1,5,non_holder,non_holder,0.8758057951927185
22,30,Manipulation,1,6,non_holder,non_holder,0.8783293962478638
22,30,Manipulation,1,7,non_holder,non_holder,0.882818341255188
22,30,Manipulation,1,8,non_holder,non_holder,0.9231626391410828
22,30,Manipulation,1,9,non_holder,non_holder,0.9262721538543701
22,30,Manipulation,1,10,non_holder,non_holder,0.9749248027801514
22,30,Manipulation,1,11,non_holder,non_holder,0.916217565536499
22,30,Manipulation,1,12,non_holder,non_holder,0.878317654132843
22,30,Manipulation,1,13,non_holder,holder,-0.9537509679794312
22,30,Manipulation,1,14,non_holder,non_holder,0.8500794768333435
22,30,Manipulation,2,3,holder,non_holder,-0.9069072604179382
22,30,Manipulation,2,4,holder,non_holder,-0.8851239681243896
22,30,Manipulation,2,5,holder,non_holder,-0.7666678428649902
22,30,Manipulation,2,6,holder,non_holder,-0.8198452591896057
22,30,Manipulation,2,7,holder,non_holder,-0.7884371280670166
22,30,Manipulation,2,8,holder,non_holder,-0.8283179998397827
22,30,Manipulation,2,9,holder,non_holder,-0.8339269161224365
22,30,Manipulation,2,10,holder,non_holder,-0.9070442914962769
22,30,Manipulation,2,11,holder,non_holder,-0.8283823132514954
22,30,Manipulation,2,12,holder,non_holder,-0.7970772385597229
22,30,Manipulation,2,13,holder,holder,0.9280539155006409
22,30,Manipulation,2,14,holder,non_holder,-0.7726482152938843
22,30,Manipulation,3,4,non_holder,non_holder,0.9543039202690125
22,30,Manipulation,3,5,non_holder,non_holder,0.8281567096710205
22,30,Manipulation,3,6,non_holder,non_holder,0.8217004537582397
22,30,Manipulation,3,7,non_holder,non_holder,0.8360477685928345
22,30,Manipulation,3,8,non_holder,non_holder,0.8856092691421509
22,30,Manipulation,3,9,non_holder,non_holder,0.8713114857673645
22,30,Manipulation,3,10,non_holder,non_holder,0.9591279029846191
22,30,Manipulation,3,11,non_holder,non_holder,0.8685231804847717
22,30,Manipulation,3,12,non_holder,non_holder,0.8307512998580933
22,30,Manipulation,3,13,non_holder,holder,-0.9181022644042969
22,30,Manipulation,3,14,non_holder,non_holder,0.7895198464393616
22,30,Manipulation,4,5,non_holder,non_holder,0.8803141117095947
22,30,Manipulation,4,6,non_holder,non_holder,0.8725181221961975
22,30,Manipulation,4,7,non_holder,non_holder,0.88242107629776
22,30,Manipulation,4,8,non_holder,non_holder,0.9039497971534729
22,30,Manipulation,4,9,non_holder,non_holder,0.9048258662223816
22,30,Manipulation,4,10,non_holder,non_holder,0.9690956473350525
22,30,Manipulation,4,11,non_holder,non_holder,0.8931150436401367
22,30,Manipulation,4,12,non_holder,non_holder,0.8845815062522888
22,30,Manipulation,4,13,non_holder,holder,-0.954406201839447
22,30,Manipulation,4,14,non_holder,non_holder,0.8374350070953369
22,30,Manipulation,5,6,non_holder,non_holder,0.9262834787368774
22,30,Manipulation,5,7,non_holder,non_holder,0.9627755284309387
22,30,Manipulation,5,8,non_holder,non_holder,0.8655263185501099
22,30,Manipulation,5,9,non_holder,non_holder,0.9274324178695679
22,30,Manipulation,5,10,non_holder,non_holder,0.8925888538360596
22,30,Manipulation,5,11,non_holder,non_holder,0.9261075854301453
22,30,Manipulation,5,12,non_holder,non_holder,0.9332630634307861
22,30,Manipulation,5,13,non_holder,holder,-0.8747987747192383
22,30,Manipulation,5,14,non_holder,non_holder,0.8710609078407288
22,30,Manipulation,6,7,non_holder,non_holder,0.9498279690742493
22,30,Manipulation,6,8,non_holder,non_holder,0.8384706377983093
22,30,Manipulation,6,9,non_holder,non_holder,0.907655656337738
22,30,Manipulation,6,10,non_holder,non_holder,0.9018323421478271
22,30,Manipulation,6,11,non_holder,non_holder,0.9005753993988037
22,30,Manipulation,6,12,non_holder,non_holder,0.9525465369224548
22,30,Manipulation,6,13,non_holder,holder,-0.8840030431747437
22,30,Manipulation,6,14,non_holder,non_holder,0.8945580720901489
22,30,Manipulation,7,8,non_holder,non_holder,0.8684570789337158
22,30,Manipulation,7,9,non_holder,non_holder,0.9340165257453918
22,30,Manipulation,7,10,non_holder,non_holder,0.9020221829414368
22,30,Manipulation,7,11,non_holder,non_holder,0.9306917786598206
22,30,Manipulation,7,12,non_holder,non_holder,0.9839329719543457
22,30,Manipulation,7,13,non_holder,holder,-0.8612750768661499
22,30,Manipulation,7,14,non_holder,non_holder,0.9468828439712524
22,30,Manipulation,8,9,non_holder,non_holder,0.9649626612663269
22,30,Manipulation,8,10,non_holder,non_holder,0.8720104098320007
22,30,Manipulation,8,11,non_holder,non_holder,0.9452347755432129
22,30,Manipulation,8,12,non_holder,non_holder,0.8724428415298462
22,30,Manipulation,8,13,non_holder,holder,-0.8664481043815613
22,30,Manipulation,8,14,non_holder,non_holder,0.8601634502410889
22,30,Manipulation,9,10,non_holder,non_holder,0.8945791721343994
22,30,Manipulation,9,11,non_holder,non_holder,0.9823083877563477
22,30,Manipulation,9,12,non_holder,non_holder,0.9299304485321045
22,30,Manipulation,9,13,non_holder,holder,-0.8835422992706299
22,30,Manipulation,9,14,non_holder,non_holder,0.8999060392379761
22,30,Manipulation,10,11,non_holder,non_holder,0.8926935791969299
22,30,Manipulation,10,12,non_holder,non_holder,0.8937095403671265
22,30,Manipulation,10,13,non_holder,holder,-0.9573165774345398
22,30,Manipulation,10,14,non_holder,non_holder,0.8508176803588867
22,30,Manipulation,11,12,non_holder,non_holder,0.9161150455474854
22,30,Manipulation,11,13,non_holder,holder,-0.8795291781425476
22,30,Manipulation,11,14,non_holder,non_holder,0.8872606754302979
22,30,Manipulation,12,13,non_holder,holder,-0.8549537062644958
22,30,Manipulation,12,14,non_holder,non_holder,0.9647199511528015
22,30,Manipulation,13,14,holder,non_holder,-0.7943427562713623
22,30,Replay,0,1,non_holder,holder,-0.6523210406303406
22,30,Replay,0,2,non_holder,non_holder,0.8025653958320618
22,30,Replay,0,3,non_holder,non_holder,0.8244890570640564
22,30,Replay,0,4,non_holder,holder,-0.5110605955123901
22,30,Replay,0,5,non_holder,non_holder,0.8601657748222351
22,30,Replay,0,6,non_holder,non_holder,0.8347126841545105
22,30,Replay,0,7,non_holder,non_holder,0.844258189201355
22,30,Replay,0,8,non_holder,non_holder,0.7849753499031067
22,30,Replay,0,9,non_holder,non_holder,0.8289047479629517
22,30,Replay,0,10,non_holder,holder,-0.5416942238807678
22,30,Replay,0,11,non_holder,non_holder,0.7968001365661621
22,30,Replay,0,12,non_holder,non_holder,0.8130013346672058
22,30,Replay,0,13,non_holder,non_holder,0.76502525806427
22,30,Replay,0,14,non_holder,non_holder,0.7890844345092773
22,30,Replay,1,2,holder,non_holder,-0.9370483160018921
22,30,Replay,1,3,holder,non_holder,-0.881138801574707
22,30,Replay,1,4,holder,holder,0.9151883721351624
22,30,Replay,1,5,holder,non_holder,-0.871472954750061
22,30,Replay,1,6,holder,non_holder,-0.8675565123558044
22,30,Replay,1,7,holder,non_holder,-0.896490216255188
22,30,Replay,1,8,holder,non_holder,-0.9293999075889587
22,30,Replay,1,9,holder,non_holder,-0.916066586971283
22,30,Replay,1,10,holder,holder,0.9690070748329163
22,30,Replay,1,11,holder,non_holder,-0.91974937915802
22,30,Replay,1,12,holder,non_holder,-0.8982641100883484
22,30,Replay,1,13,holder,non_holder,-0.9555656313896179
22,30,Replay,1,14,holder,non_holder,-0.9053494334220886
22,30,Replay,2,3,non_holder,non_holder,0.9634902477264404
22,30,Replay,2,4,non_holder,holder,-0.8240341544151306
22,30,Replay,2,5,non_holder,non_holder,0.9444912672042847
22,30,Replay,2,6,non_holder,non_holder,0.9501531720161438
22,30,Replay,2,7,non_holder,non_holder,0.9683180451393127
22,30,Replay,2,8,non_holder,non_holder,0.9423192739486694
22,30,Replay,2,9,non_holder,non_holder,0.9594693183898926
22,30,Replay,2,10,non_holder,holder,-0.8637060523033142
22,30,Replay,2,11,non_holder,non_holder,0.9501438140869141
22,30,Replay,2,12,non_holder,non_holder,0.9619724154472351
22,30,Replay,2,13,non_holder,non_holder,0.9872704148292542
22,30,Replay,2,14,non_holder,non_holder,0.9560340046882629
22,30,Replay,3,4,non_holder,holder,-0.781518816947937
22,30,Replay,3,5,non_holder,non_holder,0.9427267909049988
22,30,Replay,3,6,non_holder,non_holder,0.9185144901275635
22,30,Replay,3,7,non_holder,non_holder,0.9584515690803528
22,30,Replay,3,8,non_holder,non_holder,0.9120843410491943
22,30,Replay,3,9,non_holder,non_holder,0.9368399977684021
22,30,Replay,3,10,non_holder,holder,-0.7964369654655457
22,30,Replay,3,11,non_holder,non_holder,0.9224309325218201
22,30,Replay,3,12,non_holder,non_holder,0.9371272921562195
22,30,Replay,3,13,non_holder,non_holder,0.9434515833854675
22,30,Replay,3,14,non_holder,non_holder,0.9349265098571777
22,30,Replay,4,5,holder,non_holder,-0.7700024247169495
22,30,Replay,4,6,holder,non_holder,-0.7336165308952332
22,30,Replay,4,7,holder,non_holder,-0.7986992001533508
22,30,Replay,4,8,holder,non_holder,-0.8241590857505798
22,30,Replay,4,9,holder,non_holder,-0.8262337446212769
22,30,Replay,4,10,holder,holder,0.884304940700531
22,30,Replay,4,11,holder,non_holder,-0.8227506875991821
22,30,Replay,4,12,holder,non_holder,-0.7909371852874756
22,30,Replay,4,13,holder,non_holder,-0.8556213974952698
22,30,Replay,4,14,holder,non_holder,-0.8086790442466736
22,30,Replay,5,6,non_holder,non_holder,0.9437730312347412
22,30,Replay,5,7,non_holder,non_holder,0.9792060852050781
22,30,Replay,5,8,non_holder,non_holder,0.9393233060836792
22,30,Replay,5,9,non_holder,non_holder,0.9571124911308289
22,30,Replay,5,10,non_holder,holder,-0.7870215177536011
22,30,Replay,5,11,non_holder,non_holder,0.9576594829559326
22,30,Replay,5,12,non_holder,non_holder,0.9373607039451599
22,30,Replay,5,13,non_holder,non_holder,0.9337003231048584
22,30,Replay,5,14,non_holder,non_holder,0.9385652542114258
22,30,Replay,6,7,non_holder,non_holder,0.9518200755119324
22,30,Replay,6,8,non_holder,non_holder,0.9009801149368286
22,30,Replay,6,9,non_holder,non_holder,0.9209574460983276
22,30,Replay,6,10,non_holder,holder,-0.7871866822242737
22,30,Replay,6,11,non_holder,non_holder,0.931371808052063
22,30,Replay,6,12,non_holder,non_holder,0.9409588575363159
22,30,Replay,6,13,non_holder,non_holder,0.937424898147583
22,30,Replay,6,14,non_holder,non_holder,0.9159107804298401
22,30,Replay,7,8,non_holder,non_holder,0.9311288595199585
22,30,Replay,7,9,non_holder,non_holder,0.9740478992462158
22,30,Replay,7,10,non_holder,holder,-0.8113632202148438
22,30,Replay,7,11,non_holder,non_holder,0.9632392525672913
22,30,Replay,7,12,non_holder,non_holder,0.9745671153068542
22,30,Replay,7,13,non_holder,non_holder,0.9511592388153076
22,30,Replay,7,14,non_holder,non_holder,0.9730451703071594
22,30,Replay,8,9,non_holder,non_holder,0.9615715146064758
22,30,Replay,8,10,non_holder,holder,-0.8860570788383484
22,30,Replay,8,11,non_holder,non_holder,0.9660377502441406
22,30,Replay,8,12,non_holder,non_holder,0.917758047580719
22,30,Replay,8,13,non_holder,non_holder,0.9446110725402832
22,30,Replay,8,14,non_holder,non_holder,0.9318258762359619
22,30,Replay,9,10,non_holder,holder,-0.8529038429260254
22,30,Replay,9,11,non_holder,non_holder,0.9811086654663086
22,30,Replay,9,12,non_holder,non_holder,0.9671979546546936
