seed,round,class,client_id,role,fedavg_weight,update_norm,weighted_contribution_norm,cosine_update_vs_aggregate
11,1,Manipulation,0,non_holder,0.17920750543457536,0.33761125802993774,0.060502469539642334,0.9445189833641052
11,1,Manipulation,1,non_holder,0.033765990953071506,0.13068272173404694,0.004412631504237652,0.9581728577613831
11,1,Manipulation,2,holder,0.027715636601085895,0.09638915210962296,0.00267148669809103,-0.4970797598361969
11,1,Manipulation,3,non_holder,0.08175443067881731,0.2582731246948242,0.021114971488714218,0.9752370119094849
11,1,Manipulation,4,non_holder,0.06399450821860342,0.2425829917192459,0.015523979440331459,0.9618250131607056
11,1,Manipulation,5,non_holder,0.052472836425095884,0.2066415548324585,0.010843068361282349,0.9468851089477539
11,1,Manipulation,6,non_holder,0.2406300665729666,0.4556093215942383,0.10963329672813416,0.9712619781494141
11,1,Manipulation,7,non_holder,0.026203164285561475,0.10449927300214767,0.0027382117696106434,0.9549204707145691
11,1,Manipulation,8,non_holder,0.09916879135230468,0.3114830553531647,0.030889401212334633,0.9536808133125305
11,1,Manipulation,9,non_holder,0.024786500486949116,0.10403245687484741,0.0025786005426198244,0.9701520800590515
11,1,Manipulation,10,non_holder,0.035486358448497346,0.13759136199951172,0.0048826164565980434,0.9557742476463318
11,1,Manipulation,11,non_holder,0.03317718715496144,0.1267712563276291,0.004205913748592138,0.9506542682647705
11,1,Manipulation,12,non_holder,0.01581073073993011,0.06916077435016632,0.0010934823658317327,0.9634547829627991
11,1,Manipulation,13,holder,0.039270329776635936,0.1373928040266037,0.005395460408180952,-0.6498124599456787
11,1,Manipulation,14,non_holder,0.04655596287094407,0.181356281042099,0.008443215861916542,0.9605557322502136
11,1,Replay,0,non_holder,0.17920750543457536,0.3481173515319824,0.06238523870706558,0.9460201859474182
11,1,Replay,1,holder,0.033765990953071506,0.11305484920740128,0.003817408811300993,-0.6957574486732483
11,1,Replay,2,non_holder,0.027715636601085895,0.11464285105466843,0.003177399281412363,0.9445504546165466
