algorithm,seed,round,val_macro_f1,val_loss,manipulation_predicted_count,replay_predicted_count,manipulation_recall,replay_recall,manipulation_f1,replay_f1,communication_multiplier_vs_fedavg,elapsed_seconds
scaffold,11,1,0.15004417420612504,0.12075074326534378,0,0,0.0,0.0,0.0,0.0,2.0,17.82426905632019
scaffold,11,2,0.19428998239938228,0.11842303715249532,0,0,0.0,0.0,0.0,0.0,2.0,34.100136041641235
scaffold,11,3,0.21534849985101934,0.11508515249687211,0,0,0.0,0.0,0.0,0.0,2.0,50.348124980926514
scaffold,11,4,0.2337102788419289,0.10883821114682518,0,0,0.0,0.0,0.0,0.0,2.0,66.34388899803162
scaffold,11,5,0.26414063402413457,0.10104838503860449,0,0,0.0,0.0,0.0,0.0,2.0,82.90979790687561
scaffold,11,6,0.25807439060347487,0.09334989807404405,0,0,0.0,0.0,0.0,0.0,2.0,99.29747295379639
scaffold,11,7,0.2940146585333807,0.08719278709034108,0,769,0.0,0.2589861751152074,0.0,0.30312837108953616,2.0,115.56522798538208
scaffold,11,8,0.3354325583535278,0.08202582508250078,0,1670,0.0,0.6184331797235023,0.0,0.48711433756805805,2.0,131.95671391487122
scaffold,11,9,0.34052014614417775,0.07803224664689058,0,1937,0.0,0.7576036866359447,0.0,0.5440105890138981,2.0,148.81761407852173
scaffold,11,10,0.34264843629416336,0.07483053853195772,0,2037,0.0,0.8138248847926267,0.0,0.5656630365150545,2.0,165.36711502075195
scaffold,11,11,0.36188235718875483,0.07165756843311127,0,2021,0.0,0.8258064516129032,0.0,0.5769478428847392,2.0,181.50926399230957
scaffold,11,12,0.3680991579928334,0.06938335683494502,0,2041,0.0,0.8387096774193549,0.0,0.582213691618682,2.0,197.71391701698303
scaffold,11,13,0.359897487499628,0.06746386238742551,0,2083,0.0,0.8506912442396314,0.0,0.5827020202020202,2.0,213.85559701919556
scaffold,11,14,0.35991364442276097,0.06579402630359216,0,2218,0.0,0.8700460829493087,0.0,0.5716015743263699,2.0,230.13453698158264
scaffold,11,15,0.36167530226524686,0.06388056486944306,0,2290,0.0,0.8875576036866359,0.0,0.5706666666666667,2.0,246.3111219406128
scaffold,11,16,0.37640798349197807,0.062041863353624924,0,2303,0.0,0.8903225806451613,0.0,0.5702479338842975,2.0,262.6164689064026
scaffold,11,17,0.38021062762703933,0.06037405722020642,0,2335,0.0,0.8995391705069125,0.0,0.5707602339181287,2.0,278.84932684898376
scaffold,11,18,0.384480898831336,0.05938492100482369,0,2345,0.0,0.904147465437788,0.0,0.5720116618075802,2.0,295.0281980037689
scaffold,11,19,0.3934291822182451,0.05833239969471409,0,2318,0.0,0.904147465437788,0.0,0.5765501028504261,2.0,311.4857499599457
scaffold,11,20,0.39627158833695736,0.057472318377554184,0,2326,0.0,0.9096774193548387,0.0,0.5787159190853123,2.0,327.72991490364075
scaffold,11,21,0.397848063761613,0.05674263559195706,0,2308,0.0,0.9087557603686636,0.0,0.5811965811965812,2.0,344.13621711730957
scaffold,11,22,0.3998798274897775,0.05603628802597297,0,2276,0.0,0.9069124423963134,0.0,0.5855400178518299,2.0,360.08819007873535
scaffold,11,23,0.401638128444021,0.05587226548078325,0,2213,0.0,0.9032258064516129,0.0,0.5942995755003032,2.0,376.35487484931946
scaffold,11,24,0.40255277803635514,0.05537141561912986,0,2215,0.0,0.9087557603686636,0.0,0.5975757575757575,2.0,392.8615040779114
scaffold,11,25,0.40107864537868804,0.054913568080565724,1,2254,0.0010277492291880781,0.9133640552995391,0.002053388090349076,0.593590895477688,2.0,409.1394031047821
scaffold,11,26,0.3986703859208307,0.054583326764276414,0,2272,0.0,0.919815668202765,0.0,0.5945784927018171,2.0,425.18902802467346
scaffold,11,27,0.40571951662424943,0.05381419638272736,1,2277,0.0010277492291880781,0.9244239631336405,0.002053388090349076,0.5966686496133254,2.0,441.4519770145416
scaffold,11,28,0.40830361600045495,0.05322959538905045,3,2285,0.003083247687564234,0.9262672811059908,0.006147540983606557,0.5964391691394659,2.0,457.7371997833252
scaffold,11,29,0.40988717323770946,0.05312863359863346,0,2253,0.0,0.9253456221198156,0.0,0.6015578190533254,2.0,473.98725414276123
scaffold,11,30,0.4112902914500454,0.05293198214389614,0,2258,0.0,0.928110599078341,0.0,0.6024528866287765,2.0,490.01608395576477
scaffold,11,31,0.40989520921525374,0.05298210209248279,0,2262,0.0,0.9308755760368663,0.0,0.6035255452644159,2.0,506.2985301017761
scaffold,11,32,0.40946728040467834,0.05300630247736496,0,2270,0.0,0.9336405529953917,0.0,0.6038748137108793,2.0,522.6630489826202
scaffold,11,33,0.4001129874021671,0.05309093324609025,0,2275,0.0,0.9354838709677419,0.0,0.6041666666666666,2.0,538.8046510219574
scaffold,11,34,0.4117466124619462,0.05273992952149364,0,2280,0.0,0.9400921658986175,0.0,0.6062407132243685,2.0,554.9147870540619
scaffold,11,35,0.41347245290273044,0.05226695278114111,0,2270,0.0,0.9391705069124424,0.0,0.607451564828614,2.0,571.2868559360504
scaffold,11,36,0.4159963117739972,0.0519420809025618,0,2274,0.0,0.9410138248847926,0.0,0.6079190235189045,2.0,587.4782447814941
scaffold,11,37,0.4183726713108875,0.051551790915504665,0,2276,0.0,0.9419354838709677,0.0,0.6081523356144005,2.0,606.019033908844
scaffold,11,38,0.41591188769873766,0.05153125966236619,0,2285,0.0,0.943778801843318,0.0,0.6077151335311572,2.0,621.7941267490387
scaffold,11,39,0.4172073161355626,0.0516152835601572,0,2281,0.0,0.943778801843318,0.0,0.6084373143196673,2.0,637.5377249717712
scaffold,11,40,0.41596512784936374,0.05172165777589187,0,2277,0.0,0.943778801843318,0.0,0.6091612135633552,2.0,653.3201079368591
scaffold,11,41,0.4167118588335885,0.051596917487405164,1,2274,0.0,0.9428571428571428,0.0,0.6091098541232509,2.0,669.0126769542694
scaffold,11,42,0.41937910527981814,0.0514068316930221,1,2276,0.0,0.943778801843318,0.0,0.6093424576019042,2.0,684.6386177539825
scaffold,11,43,0.420815226149742,0.05148173142211198,1,2281,0.0,0.943778801843318,0.0,0.6084373143196673,2.0,700.4888410568237
scaffold,11,44,0.42193955032806935,0.05129897094520438,1,2289,0.0,0.9447004608294931,0.0,0.6075874333135743,2.0,716.2461149692535
scaffold,11,45,0.42252009595483464,0.05100726230375588,1,2290,0.0,0.9447004608294931,0.0,0.6074074074074074,2.0,731.9216179847717
fednova,11,1,0.2512633455696514,0.12804356248482288,0,0,0.0,0.0,0.0,0.0,1.0,15.570645570755005
fednova,11,2,0.2521220623694469,0.13143275353765657,0,0,0.0,0.0,0.0,0.0,1.0,31.298667669296265
fednova,11,3,0.244787699066353,0.12660215668596989,0,0,0.0,0.0,0.0,0.0,1.0,47.6356098651886
fednova,11,4,0.24319738150157225,0.12275037873712139,0,0,0.0,0.0,0.0,0.0,1.0,64.15845394134521
fednova,11,5,0.28029531966656257,0.11822078260433613,0,0,0.0,0.0,0.0,0.0,1.0,79.96474695205688
fednova,11,6,0.283754364583879,0.11499223974404602,0,0,0.0,0.0,0.0,0.0,1.0,95.39111399650574
