algorithm,config,seed,round,val_macro_f1,val_loss,manipulation_predicted_count,replay_predicted_count,manipulation_recall,replay_recall,elapsed_seconds
fedavg_sgd,lr=0.05,11,1,0.2615731850707684,0.11834275268730937,0,0,0.0,0.0,25.592955827713013
fedavg_sgd,lr=0.05,11,2,0.26004595924310625,0.11570458262123413,0,0,0.0,0.0,49.06905388832092
fedavg_sgd,lr=0.05,11,3,0.25805358813754936,0.11453627946046391,0,0,0.0,0.0,72.58485984802246
fedavg_sgd,lr=0.05,11,4,0.2544765733895942,0.11233743477751139,0,0,0.0,0.0,96.22490787506104
fedavg_sgd,lr=0.05,11,5,0.2684201879120034,0.10928930265763466,0,0,0.0,0.0,120.23025584220886
fedavg_sgd,lr=0.05,11,6,0.2795133928634259,0.105689475789995,0,0,0.0,0.0,144.48429989814758
fedavg_sgd,lr=0.05,11,7,0.2932399182267622,0.1039198247687109,0,0,0.0,0.0,172.8525288105011
fedavg_sgd,lr=0.05,11,8,0.2973516276283401,0.09962161392162608,0,0,0.0,0.0,202.66437292099
fedavg_sgd,lr=0.05,11,9,0.3221780452063928,0.09664066530327797,0,0,0.0,0.0,228.5275628566742
fedavg_sgd,lr=0.05,11,10,0.32565163323339863,0.09399826787796946,0,0,0.0,0.0,254.7948818206787
fedavg_sgd,lr=0.05,11,11,0.3314963418184036,0.09165272511198091,0,0,0.0,0.0,283.5045258998871
fedavg_sgd,lr=0.05,11,12,0.329999982793847,0.08982256620439559,0,0,0.0,0.0,308.5724198818207
fedavg_sgd,lr=0.05,11,13,0.3180204490153524,0.08890627947612074,0,0,0.0,0.0,331.6361508369446
fedavg_sgd,lr=0.05,11,14,0.3221352041422132,0.08735671589003866,0,0,0.0,0.0,354.7855508327484
fedavg_sgd,lr=0.05,11,15,0.3315659571075707,0.0847635942031849,0,0,0.0,0.0,377.8683400154114
fedavg_sgd,lr=0.1,11,1,0.25208542623530544,0.1196473465558706,0,0,0.0,0.0,22.531924962997437
fedavg_sgd,lr=0.1,11,2,0.2600358983945873,0.12205481575069507,0,0,0.0,0.0,45.164918661117554
fedavg_sgd,lr=0.1,11,3,0.25399343996680857,0.11819265680714815,0,0,0.0,0.0,69.56491875648499
fedavg_sgd,lr=0.1,11,4,0.28801590635548213,0.11210750601043222,0,0,0.0,0.0,94.91245794296265
fedavg_sgd,lr=0.1,11,5,0.2963409956480929,0.1064814164593125,0,0,0.0,0.0,119.64879179000854
fedavg_sgd,lr=0.1,11,6,0.2936151626320871,0.10113740767980303,0,0,0.0,0.0,143.72962284088135
fedavg_sgd,lr=0.1,11,7,0.30386175896960294,0.09892762924681515,0,0,0.0,0.0,168.14194774627686
fedavg_sgd,lr=0.1,11,8,0.3285215999577616,0.09302415085921967,0,0,0.0,0.0,191.60047268867493
fedavg_sgd,lr=0.1,11,9,0.35211553407057194,0.09056365661010574,0,0,0.0,0.0,213.87573671340942
fedavg_sgd,lr=0.1,11,10,0.3545074551875255,0.08737148545595126,0,0,0.0,0.0,236.20432472229004
fedavg_sgd,lr=0.1,11,11,0.3549053309072038,0.08461884676750918,0,0,0.0,0.0,258.92294788360596
fedavg_sgd,lr=0.1,11,12,0.34944211663409963,0.08334289394756425,0,0,0.0,0.0,281.1477119922638
fedavg_sgd,lr=0.1,11,13,0.33826666666374133,0.080114679088303,0,0,0.0,0.0,303.52640676498413
fedavg_sgd,lr=0.1,11,14,0.3421996695656849,0.08013230270314901,0,0,0.0,0.0,325.13389682769775
fedavg_sgd,lr=0.1,11,15,0.3463992565189973,0.0779081659460105,0,0,0.0,0.0,346.57461977005005
