algorithm,config,seed,round,val_macro_f1,val_loss,manipulation_predicted_count,replay_predicted_count,manipulation_recall,replay_recall,elapsed_seconds
fedavg_sgd,lr=0.2,11,1,0.25515372699545386,0.12195920105613128,0,0,0.0,0.0,23.448609113693237
fedavg_sgd,lr=0.2,11,2,0.2561558813549492,0.12298731880733409,0,0,0.0,0.0,44.083431005477905
fedavg_sgd,lr=0.2,11,3,0.2887386385735209,0.11534066872899398,0,0,0.0,0.0,64.70766401290894
fedavg_sgd,lr=0.2,11,4,0.2976701839783289,0.10644801039859467,0,0,0.0,0.0,85.36394500732422
fedavg_sgd,lr=0.2,11,5,0.3183183543946243,0.09847517829107473,0,0,0.0,0.0,105.97299695014954
fedavg_sgd,lr=0.2,11,6,0.32154787858750916,0.09263227947979279,0,0,0.0,0.0,126.55582594871521
fedavg_sgd,lr=0.2,11,7,0.33071943225084083,0.09061038779388764,0,0,0.0,0.0,146.97774386405945
fedavg_sgd,lr=0.2,11,8,0.3402688854192161,0.08435516743871395,0,0,0.0,0.0,167.41314005851746
fedavg_sgd,lr=0.2,11,9,0.36783748021928814,0.0827760238057284,0,0,0.0,0.0,187.77125716209412
fedavg_sgd,lr=0.2,11,10,0.3644894700754418,0.07807972336825465,0,0,0.0,0.0,208.63718008995056
fedavg_sgd,lr=0.2,11,11,0.3711440288140986,0.07372855577599265,0,0,0.0,0.0,229.4200141429901
fedavg_sgd,lr=0.2,11,12,0.3725703326587852,0.07398607591196689,0,0,0.0,0.0,249.95811200141907
fedavg_sgd,lr=0.2,11,13,0.35690443249942405,0.07263798154687086,0,0,0.0,0.0,270.4691731929779
fedavg_sgd,lr=0.2,11,14,0.37279176256857494,0.06996279491321628,0,40,0.0,0.03686635944700461,291.1692261695862
fedavg_sgd,lr=0.2,11,15,0.40750328776571276,0.06840909219667929,0,116,0.0,0.10691244239631337,311.767333984375
fedavg_sgd,lr=0.3,11,1,0.2493389416299336,0.121552470515706,0,0,0.0,0.0,23.475430011749268
fedavg_sgd,lr=0.3,11,2,0.2560370018159977,0.11927560181775164,0,0,0.0,0.0,49.245891094207764
fedavg_sgd,lr=0.3,11,3,0.3137583429791852,0.1086734962271062,0,0,0.0,0.0,71.7049548625946
fedavg_sgd,lr=0.3,11,4,0.3122964146940903,0.09741973535459836,0,0,0.0,0.0,92.1427800655365
fedavg_sgd,lr=0.3,11,5,0.33020945750248765,0.0911569107056216,0,0,0.0,0.0,111.71783399581909
fedavg_sgd,lr=0.3,11,6,0.329500195039301,0.08600139407017421,0,0,0.0,0.0,131.58209204673767
fedavg_sgd,lr=0.3,11,7,0.3373859171254892,0.08284309777692905,0,0,0.0,0.0,152.48791813850403
fedavg_sgd,lr=0.3,11,8,0.3564938983894075,0.07520630426231398,0,0,0.0,0.0,174.32655596733093
fedavg_sgd,lr=0.3,11,9,0.381062733927333,0.07563897415845074,0,0,0.0,0.0,196.346253156662
fedavg_sgd,lr=0.3,11,10,0.383459013153724,0.0725976310310269,0,0,0.0,0.0,217.93358492851257
fedavg_sgd,lr=0.3,11,11,0.3891778009512039,0.06716814848196687,0,0,0.0,0.0,238.73811507225037
fedavg_sgd,lr=0.3,11,12,0.39938668308799957,0.06727364159546584,0,30,0.0,0.027649769585253458,259.9043688774109
fedavg_sgd,lr=0.3,11,13,0.388143414970266,0.0643620205174191,0,48,0.0,0.04423963133640553,281.1445960998535
fedavg_sgd,lr=0.3,11,14,0.4389882121583936,0.06313454356801722,0,364,0.0,0.25069124423963135,302.57276606559753
fedavg_sgd,lr=0.3,11,15,0.46037651891649806,0.061425109688854854,0,489,0.0,0.3087557603686636,323.9945149421692
scaffold_weighted,lr=0.2,11,1,0.25515372699545386,0.12195920105613128,0,0,0.0,0.0,21.350323915481567
scaffold_weighted,lr=0.2,11,2,0.24392017149470085,0.13161526055223474,0,0,0.0,0.0,42.86483287811279
scaffold_weighted,lr=0.2,11,3,0.33000896639902977,0.0840320531550895,0,0,0.0,0.0,64.1783607006073
scaffold_weighted,lr=0.2,11,4,0.38246718750956865,0.06294835434896053,0,141,0.0,0.12811059907834102,85.24184393882751
scaffold_weighted,lr=0.2,11,5,0.393110669410146,0.057769681641464864,0,65,0.0,0.05161290322580645,107.71127986907959
scaffold_weighted,lr=0.2,11,6,0.46500795191148764,0.054238108411902214,3,694,0.0,0.40368663594470044,129.6949758529663
scaffold_weighted,lr=0.2,11,7,0.46015943171322937,0.055589761568644806,1,967,0.0,0.49216589861751153,151.91275191307068
scaffold_weighted,lr=0.2,11,8,0.46765154732839576,0.05259769286219323,6,1146,0.0,0.5447004608294931,172.13667678833008
scaffold_weighted,lr=0.2,11,9,0.48169790826273357,0.051341348276999973,2,1003,0.0,0.5032258064516129,197.22176885604858
scaffold_weighted,lr=0.2,11,10,0.42873353218602517,0.05407711755393308,2,309,0.0,0.22857142857142856,222.50534391403198
scaffold_weighted,lr=0.2,11,11,0.42931405187660787,0.05378152242187218,2,281,0.0,0.2110599078341014,247.17007684707642
scaffold_weighted,lr=0.2,11,12,0.48898427660912447,0.0532553814086687,2,653,0.0,0.37511520737327186,272.1058418750763
scaffold_weighted,lr=0.2,11,13,0.49943132260142575,0.05111924164745954,0,1815,0.0,0.783410138248848,297.12699794769287
scaffold_weighted,lr=0.2,11,14,0.48994254512345914,0.048258726770613665,5,2392,0.0,0.9557603686635945,322.59306287765503
scaffold_weighted,lr=0.2,11,15,0.5386105875287905,0.04861329465561067,3,1836,0.0,0.8184331797235023,347.50436186790466
scaffold_weighted,lr=0.3,11,1,0.2493389416299336,0.121552470515706,0,0,0.0,0.0,23.65282392501831
scaffold_weighted,lr=0.3,11,2,0.2488635303307083,0.11436277636854351,0,0,0.0,0.0,45.14888405799866
scaffold_weighted,lr=0.3,11,3,0.32005981539332046,0.07643217898517889,0,0,0.0,0.0,65.77276086807251
scaffold_weighted,lr=0.3,11,4,0.3982604733482159,0.06283791686548107,0,357,0.0,0.24423963133640553,87.0826268196106
scaffold_weighted,lr=0.3,11,5,0.4150900566243523,0.05811368351219963,9,162,0.0,0.14377880184331798,108.41800093650818
scaffold_weighted,lr=0.3,11,6,0.4728370833432123,0.05601511522260342,114,1029,0.08941418293936279,0.5198156682027649,129.86837577819824
scaffold_weighted,lr=0.3,11,7,0.4294213305120353,0.058764838302483566,4,260,0.0,0.19815668202764977,151.01722884178162
scaffold_weighted,lr=0.3,11,8,0.4251165190767232,0.059274849398055336,0,41,0.0,0.03225806451612903,172.27056169509888
