algorithm,config,seed,round,val_macro_f1,val_loss,per_class_precision_json,per_class_recall_json,per_class_f1_json,per_class_predicted_count_json,comm_multiplier_vs_fedavg,elapsed_seconds,diverged,diverged_stage,diverged_client_id
fedavg_sgd,lr=0.5,11,11,0.4063892457967083,0.063584484680085,"{""DoS"": 0.9988246305204275, ""Injection"": 0.41237830319888735, ""Ip Spoofing"": 0.2840909090909091, ""MITM"": 0.40140584535701074, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9224173893951038, ""Replay"": 0.0, ""Unauth"": 0.24022346368715083, ""Video"": 0.8561607615018508}","{""DoS"": 0.9983031305066679, ""Injection"": 0.7001180637544274, ""Ip Spoofing"": 0.9626604434072346, ""MITM"": 0.321552937689857, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9911820739526133, ""Replay"": 0.0, ""Unauth"": 0.11512717536813923, ""Video"": 0.13478188478188477}","{""DoS"": 0.9985638124251985, ""Injection"": 0.5190371991247265, ""Ip Spoofing"": 0.43871310821590004, ""MITM"": 0.3570693981652886, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9555642114061998, ""Replay"": 0.0, ""Unauth"": 0.15565610859728507, ""Video"": 0.23289937423577645}","{""DoS"": 45943, ""Injection"": 1438, ""Ip Spoofing"": 2904, ""MITM"": 10812, ""Manipulation"": 0, ""Password Cracking"": 0, ""Regular"": 182180, ""Replay"": 0, ""Unauth"": 358, ""Video"": 1891}",1.0,262.30108880996704,False,,
fedavg_sgd,lr=0.5,11,12,0.4079689080585857,0.06439484076812277,"{""DoS"": 0.9977832351726686, ""Injection"": 0.4464425332290852, ""Ip Spoofing"": 0.29191176470588237, ""MITM"": 0.4030612244897959, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9141206243008113, ""Replay"": 1.0, ""Unauth"": 0.20242914979757085, ""Video"": 0.8734793187347932}","{""DoS"": 0.9987817347227359, ""Injection"": 0.6741440377804014, ""Ip Spoofing"": 0.926487747957993, ""MITM"": 0.2633918648588575, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9928453884311169, ""Replay"": 0.0027649769585253456, ""Unauth"": 0.13386880856760375, ""Video"": 0.14943389943389943}","{""DoS"": 0.9982822352685367, ""Injection"": 0.5371589840075258, ""Ip Spoofing"": 0.44394744199049485, ""MITM"": 0.31859120849576555, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9518580197521509, ""Replay"": 0.0055147058823529415, ""Unauth"": 0.16116035455278002, ""Video"": 0.25520722257766404}","{""DoS"": 46013, ""Injection"": 1279, ""Ip Spoofing"": 2720, ""MITM"": 8820, ""Manipulation"": 0, ""Password Cracking"": 0, ""Regular"": 184142, ""Replay"": 3, ""Unauth"": 494, ""Video"": 2055}",1.0,285.88139295578003,False,,
fedavg_sgd,lr=0.5,11,13,0.43687025027802107,0.05993556010392257,"{""DoS"": 0.999412097722423, ""Injection"": 0.4375, ""Ip Spoofing"": 0.28792569659442724, ""MITM"": 0.5032394366197183, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9236198139964382, ""Replay"": 0.0, ""Unauth"": 0.446984126984127, ""Video"": 0.8158242484307896}","{""DoS"": 0.9985206778776079, ""Injection"": 0.01652892561983471, ""Ip Spoofing"": 0.9766627771295215, ""MITM"": 0.2647254945543454, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9911230911696876, ""Replay"": 0.0, ""Unauth"": 0.9424364123159303, ""Video"": 0.41117216117216115}","{""DoS"": 0.9989661889371334, ""Injection"": 0.03185437997724687, ""Ip Spoofing"": 0.4447396386822529, ""MITM"": 0.3469437296693693, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9561815559089888, ""Replay"": 0.0, ""Unauth"": 0.6063738156761412, ""Video"": 0.5467729436510572}","{""DoS"": 45926, ""Injection"": 32, ""Ip Spoofing"": 2907, ""MITM"": 7100, ""Manipulation"": 0, ""Password Cracking"": 0, ""Regular"": 181932, ""Replay"": 0, ""Unauth"": 1575, ""Video"": 6054}",1.0,309.71410179138184,False,,
fedavg_sgd,lr=0.5,11,14,0.5012835362975286,0.05624168854273653,"{""DoS"": 0.9984343060931588, ""Injection"": 1.0, ""Ip Spoofing"": 0.373953488372093, ""MITM"": 0.4877378650656355, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.932088209820338, ""Replay"": 0.6270718232044199, ""Unauth"": 0.4478072884496603, ""Video"": 0.8212815990593768}","{""DoS"": 0.9988469989340178, ""Injection"": 0.0011806375442739079, ""Ip Spoofing"": 0.9381563593932322, ""MITM"": 0.35511595169296883, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9902265528692175, ""Replay"": 0.4184331797235023, ""Unauth"": 0.9705488621151271, ""Video"": 0.3489010989010989}","{""DoS"": 0.9986406098767848, ""Injection"": 0.0023584905660377358, ""Ip Spoofing"": 0.5347522447622215, ""MITM"": 0.41099296861601786, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.960278215508341, ""Replay"": 0.5019347705914871, ""Unauth"": 0.6128486897717667, ""Video"": 0.48974583698510077}","{""DoS"": 45986, ""Injection"": 1, ""Ip Spoofing"": 2150, ""MITM"": 9827, ""Manipulation"": 0, ""Password Cracking"": 0, ""Regular"": 180116, ""Replay"": 724, ""Unauth"": 1619, ""Video"": 5103}",1.0,333.30126190185547,False,,
fedavg_sgd,lr=0.5,11,15,0.44219319524408696,0.05995561501252579,"{""DoS"": 0.999716917448773, ""Injection"": 0.47240618101545256, ""Ip Spoofing"": 0.3002832861189802, ""MITM"": 0.42531414673692747, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9221619605929159, ""Replay"": 0.9727272727272728, ""Unauth"": 0.24074074074074073, ""Video"": 0.8694744169857292}","{""DoS"": 0.9987599799856419, ""Injection"": 0.7579693034238488, ""Ip Spoofing"": 0.9894982497082847, ""MITM"": 0.3109579906645921, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9918485793996732, ""Replay"": 0.09861751152073733, ""Unauth"": 0.06961178045515395, ""Video"": 0.20795870795870797}","{""DoS"": 0.9992382196104037, ""Injection"": 0.5820489573889392, ""Ip Spoofing"": 0.46074436294485194, ""MITM"": 0.3592552963834796, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9557366707019728, ""Replay"": 0.1790794979079498, ""Unauth"": 0.10799584631360332, ""Video"": 0.3356399059455828}","{""DoS"": 45923, ""Injection"": 1359, ""Ip Spoofing"": 2824, ""MITM"": 9868, ""Manipulation"": 0, ""Password Cracking"": 0, ""Regular"": 182353, ""Replay"": 110, ""Unauth"": 216, ""Video"": 2873}",1.0,356.87490606307983,False,,
fedavg_sgd,lr=0.5,11,16,0.43227154811553786,0.05673829827756539,"{""DoS"": 0.9992817342852168, ""Injection"": 0.5082802547770701, ""Ip Spoofing"": 0.28547008547008546, ""MITM"": 0.4469674628919689, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9304302529204442, ""Replay"": 0.0, ""Unauth"": 0.0, ""Video"": 0.8242029636281993}","{""DoS"": 0.9987817347227359, ""Injection"": 0.9421487603305785, ""Ip Spoofing"": 0.9743290548424738, ""MITM"": 0.3368896791879677, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9903091287653134, ""Replay"": 0.0, ""Unauth"": 0.0, ""Video"": 0.3056110556110556}","{""DoS"": 0.9990316719435106, ""Injection"": 0.6603227141083988, ""Ip Spoofing"": 0.4415653093601269, ""MITM"": 0.3841994085340093, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9594363315837745, ""Replay"": 0.0, ""Unauth"": 0.0, ""Video"": 0.44588849751002063}","{""DoS"": 45944, ""Injection"": 1570, ""Ip Spoofing"": 2925, ""MITM"": 10173, ""Manipulation"": 0, ""Password Cracking"": 0, ""Regular"": 180452, ""Replay"": 0, ""Unauth"": 8, ""Video"": 4454}",1.0,380.326308965683,False,,
fedavg_sgd,lr=0.5,11,17,0.41673394961460436,0.05833697318981197,"{""DoS"": 0.9997386816489188, ""Injection"": 0.48661005878510777, ""Ip Spoofing"": 0.2882392929979606, ""MITM"": 0.42321256813081115, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9211071185995048, ""Replay"": 0.0, ""Unauth"": 0.07142857142857142, ""Video"": 0.8747189206553164}","{""DoS"": 0.9987382252485478, ""Injection"": 0.8795749704840614, ""Ip Spoofing"": 0.9894982497082847, ""MITM"": 0.293398533007335, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9918603759562584, ""Replay"": 0.0, ""Unauth"": 0.009370816599732263, ""Video"": 0.2266899766899767}","{""DoS"": 0.9992382030297754, ""Injection"": 0.6265769554247267, ""Ip Spoofing"": 0.4464332719136615, ""MITM"": 0.34654765030191653, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9551753028216015, ""Replay"": 0.0, ""Unauth"": 0.016568047337278107, ""Video"": 0.3600661157024793}","{""DoS"": 45921, ""Injection"": 1531, ""Ip Spoofing"": 2942, ""MITM"": 9357, ""Manipulation"": 0, ""Password Cracking"": 0, ""Regular"": 182564, ""Replay"": 0, ""Unauth"": 98, ""Video"": 3113}",1.0,404.06811785697937,False,,
fedavg_sgd,lr=0.5,11,18,0.4364306605102094,0.05530127052731715,"{""DoS"": 0.9998257877659459, ""Injection"": 0.8, ""Ip Spoofing"": 0.28926746166950595, ""MITM"": 0.5110932637285414, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.934008034094829, ""Replay"": 0.0, ""Unauth"": 0.40266963292547275, ""Video"": 0.8424207269914926}","{""DoS"": 0.9988252441969239, ""Injection"": 0.004722550177095631, ""Ip Spoofing"": 0.9906651108518086, ""MITM"": 0.37719493220715716, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9901616718079993, ""Replay"": 0.0, ""Unauth"": 0.9692101740294511, ""Video"": 0.36272061272061273}","{""DoS"": 0.9993252655406581, ""Injection"": 0.009389671361502348, ""Ip Spoofing"": 0.4477848101265823, ""MITM"": 0.4340523488788473, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9612654784911603, ""Replay"": 0.0, ""Unauth"": 0.5689587426326129, ""Video"": 0.5070996275605214}","{""DoS"": 45921, ""Injection"": 5, ""Ip Spoofing"": 2935, ""MITM"": 9961, ""Manipulation"": 0, ""Password Cracking"": 0, ""Regular"": 179734, ""Replay"": 0, ""Unauth"": 1798, ""Video"": 5172}",1.0,427.97053503990173,False,,
fedavg_sgd,lr=0.5,11,19,0.4347731743276157,0.056004123800860506,"{""DoS"": 1.0, ""Injection"": 0.372270187912646, ""Ip Spoofing"": 0.29238160603980784, ""MITM"": 0.49170861711578323, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9240641946277381, ""Replay"": 1.0, ""Unauth"": 0.059880239520958084, ""Video"": 0.8465132375843571}","{""DoS"": 0.9982378662953858, ""Injection"": 0.8654073199527745, ""Ip Spoofing"": 0.9941656942823804, ""MITM"": 0.246054678817515, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9920196294701576, ""Replay"": 0.04423963133640553, ""Unauth"": 0.013386880856760375, ""Video"": 0.40725940725940724}","{""DoS"": 0.999118156184338, ""Injection"": 0.5205965909090909, ""Ip Spoofing"": 0.4518695306284805, ""MITM"": 0.32798380326897436, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9568368653107666, ""Replay"": 0.08473080317740513, ""Unauth"": 0.02188183807439825, ""Video"": 0.5499409813950874}","{""DoS"": 45886, ""Injection"": 1969, ""Ip Spoofing"": 2914, ""MITM"": 6754, ""Manipulation"": 0, ""Password Cracking"": 0, ""Regular"": 182009, ""Replay"": 48, ""Unauth"": 167, ""Video"": 5779}",1.0,451.65484404563904,False,,
fedavg_sgd,lr=0.5,11,20,0.5011619812161208,0.053776332209191285,"{""DoS"": 1.0, ""Injection"": 0.36262866191607285, ""Ip Spoofing"": 0.3885411651420318, ""MITM"": 0.43232044198895025, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9306920273398988, ""Replay"": 0.558589306029579, ""Unauth"": 0.3127629733520337, ""Video"": 0.8729533050333536}","{""DoS"": 0.9984119041921379, ""Injection"": 0.5407319952774499, ""Ip Spoofing"": 0.941656942823804, ""MITM"": 0.34785507890642364, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9910818032216396, ""Replay"": 0.4525345622119816, ""Unauth"": 0.29852744310575635, ""Video"": 0.23967698967698967}","{""DoS"": 0.9992053210829406, ""Injection"": 0.43412322274881515, ""Ip Spoofing"": 0.5501022494887525, ""MITM"": 0.38551545756866606, ""Manipulation"": 0.0, ""Password Cracking"": 0.0, ""Regular"": 0.9599380718286806, ""Replay"": 0.5, ""Unauth"": 0.30547945205479454, ""Video"": 0.3760940561724363}","{""DoS"": 45894, ""Injection"": 1263, ""Ip Spoofing"": 2077, ""MITM"": 10860, ""Manipulation"": 0, ""Password Cracking"": 0, ""Regular"": 180542, ""Replay"": 879, ""Unauth"": 713, ""Video"": 3298}",1.0,475.3577461242676,False,,
