algorithm,config,seed,round,val_macro_f1,val_loss,manipulation_predicted_count,replay_predicted_count,manipulation_recall,replay_recall,elapsed_seconds
fedavg_sgd,lr=0.003,11,1,0.05867262786749995,0.12226935929103049,0,0,0.0,0.0,26.8372061252594
fedavg_sgd,lr=0.003,11,2,0.063787073177704,0.1219454763199046,0,0,0.0,0.0,48.66381025314331
fedavg_sgd,lr=0.003,11,3,0.061884803506357756,0.12158847515284905,0,0,0.0,0.0,73.33565425872803
fedavg_sgd,lr=0.003,11,4,0.09605627912934905,0.12120696468870182,0,0,0.0,0.0,97.31706500053406
fedavg_sgd,lr=0.003,11,5,0.07093166620901187,0.12090614086851617,0,0,0.0,0.0,118.2337601184845
fedavg_sgd,lr=0.003,11,6,0.06496098164913061,0.12069665964699476,0,0,0.0,0.0,139.02226519584656
fedavg_sgd,lr=0.003,11,7,0.06528743982735241,0.12061282059448786,0,0,0.0,0.0,158.8953139781952
fedavg_sgd,lr=0.003,11,8,0.06614105956700242,0.1205088531510796,0,0,0.0,0.0,176.36904120445251
fedavg_sgd,lr=0.003,11,9,0.06663995936269135,0.12042666183443962,0,0,0.0,0.0,193.70456409454346
fedavg_sgd,lr=0.003,11,10,0.06673374531401681,0.12021796822952842,0,0,0.0,0.0,210.89935326576233
fedavg_sgd,lr=0.003,11,11,0.06888108862658843,0.11983510764538172,0,0,0.0,0.0,228.29963612556458
fedavg_sgd,lr=0.003,11,12,0.12722730831426712,0.11932752391939201,0,0,0.0,0.0,245.53284311294556
fedavg_sgd,lr=0.003,11,13,0.16022760077815412,0.11869838729250846,0,0,0.0,0.0,262.7464551925659
fedavg_sgd,lr=0.003,11,14,0.19226190187774234,0.11798108710952758,0,0,0.0,0.0,280.1322751045227
fedavg_sgd,lr=0.003,11,15,0.21097089348230497,0.11713446202238557,0,0,0.0,0.0,297.4324412345886
fedavg_sgd,lr=0.01,11,1,0.15004417420612504,0.12075074326534378,0,0,0.0,0.0,17.14168691635132
fedavg_sgd,lr=0.01,11,2,0.07477267220318473,0.11998687547071393,0,0,0.0,0.0,36.541693925857544
fedavg_sgd,lr=0.01,11,3,0.16406285546503174,0.11977889804403968,0,0,0.0,0.0,59.09559392929077
fedavg_sgd,lr=0.01,11,4,0.21597139826452771,0.11793877876229349,0,0,0.0,0.0,79.70889282226562
fedavg_sgd,lr=0.01,11,5,0.23622797154967654,0.11482684516897416,0,0,0.0,0.0,97.76804780960083
fedavg_sgd,lr=0.01,11,6,0.2570366845615684,0.11109466847079738,0,0,0.0,0.0,114.9390459060669
fedavg_sgd,lr=0.01,11,7,0.26346587647347874,0.10726360274515981,0,0,0.0,0.0,132.49265098571777
fedavg_sgd,lr=0.01,11,8,0.2739283881163611,0.1034129430307286,0,0,0.0,0.0,149.79335689544678
fedavg_sgd,lr=0.01,11,9,0.2724828807869144,0.10054067263119587,0,0,0.0,0.0,168.0254819393158
fedavg_sgd,lr=0.01,11,10,0.2700667767806328,0.09815624839441169,0,0,0.0,0.0,187.4212191104889
